,0,1,2,3
0,18.9,17.8,17.0,17.0
1,50.9,36.3,36.3,36.3
2,17.8,17.0,17.0,17.0
3,17.0,36.3,36.3,36.3
4,14.2,50.9,50.9,50.9
5,14.2,17.0,17.0,17.0
6,14.8,14.8,14.8,14.8
7,16.3,15.8,15.8,15.8
8,16.3,16.3,31.3,31.3
9,14.4,14.3,17.8,17.8
10,17.0,15.8,16.3,16.3
11,20.3,18.9,17.8,17.8
12,24.5,22.1,20.3,20.3
13,61.6,50.9,42.7,42.7
14,92.8,61.6,61.6,61.6
15,50.9,42.7,36.3,36.3
16,61.6,50.9,42.7,42.7
17,230.4,182.1,144.6,144.6
18,61.6,50.9,50.9,50.9
19,24.5,22.1,20.3,20.3
20,92.8,61.6,61.6,61.6
21,27.5,24.5,22.1,22.1
22,22.1,20.3,18.9,18.9
23,17.8,17.0,17.0,17.0
24,50.9,42.7,36.3,36.3
25,61.6,42.7,36.3,36.3
26,20.3,18.9,17.8,17.8
27,18.9,17.8,17.8,17.8
28,15.4,15.4,15.1,15.1
29,16.3,15.8,15.4,15.4
30,31.3,24.5,24.5,24.5
31,15.8,15.8,15.4,15.4
32,18.9,17.8,17.0,17.0
33,20.3,18.9,18.9,18.9
34,92.8,75.2,61.6,61.6
35,144.6,115.5,115.5,115.5
36,144.6,115.5,92.8,92.8
37,50.9,42.7,36.3,36.3
38,50.9,42.7,36.3,36.3
39,22.1,20.3,18.9,18.9
40,61.6,50.9,50.9,50.9
41,92.8,75.2,61.6,61.6
42,75.2,61.6,50.9,50.9
43,27.5,24.5,22.1,22.1
44,31.3,24.5,24.5,24.5
45,75.2,61.6,50.9,50.9
46,22.1,42.7,92.8,92.8
47,14.2,14.2,14.3,14.3
