,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,1,0,3,0,6,0,minizinc_fw,0,5000,0,5000,3,25.21,13.86,2400.0,1319.97,4570.0,0.45,0.31,0.0,0.00085,0.41500000000000004
1,1,0,3,0,6,0,minizinc_fw,0,,,,3,25.21,13.86,2400.0,1319.97,4570.0,0.45,0.31,0.0,0.001,0.275
2,1,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,25.21,13.86,2400.0,1319.97,4570.0,0.45,0.31,2.25,0.000975,0.405
3,1,1,3,0,6,0,minizinc_fw,0,,,,1,25.21,25.21,2400,2400,4570,0.0,0.0,0,0.00045,0.195
4,1,50,3,0,6,0,minizinc_fw,0,5000,0,5000,3,25.21,13.86,2400.0,1319.97,4570.0,0.45,0.31,112.5,0.001,0.41
5,1,50,3,0,6,0,minizinc_fw,0,,,,1,25.21,25.21,2400,2400,4570,0.0,0.0,0,0.00045,0.205
6,1,100,3,0,6,0,minizinc_fw,0,5000,0,5000,5,25.21,2.36,2400.0,225.0,4570.0,0.91,0.31,0.0,0.003233333333333333,0.4483333333333334
7,1,100,3,0,6,0,minizinc_fw,0,,,,1,25.21,25.21,2400,2400,4570,0.0,0.0,0,0.00035,0.16
8,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,6.87,3.55,11900.0,6156.89,83174.0,0.48,0.14,0.0,0.006033333333333334,3.84
9,10,0,3,0,6,0,minizinc_fw,0,,,,3,6.87,3.53,11900.0,6109.3,83174.0,0.49,0.14,0.0,0.01385,3.0149999999999997
10,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,4,6.87,3.38,11900.0,5865.05,83174.0,0.51,0.14,0.0,0.006619999999999999,5.074
11,10,1,3,0,6,0,minizinc_fw,0,,,,5,6.87,3.5,11900.0,6072.0,83174.0,0.49,0.14,22.02,0.005183333333333333,3.65
12,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,5,6.87,3.38,11900.0,5865.05,83174.0,0.51,0.14,0.0,0.012416666666666668,5.105
13,10,50,3,0,6,0,minizinc_fw,0,,,,5,6.87,3.55,11900.0,6145.95,83174.0,0.48,0.14,903.97,0.003466666666666667,3.5866666666666664
14,10,100,3,0,6,0,minizinc_fw,0,5000,0,5000,4,6.87,3.38,11900.0,5865.05,83174.0,0.51,0.14,0.0,0.00648,4.846
15,10,100,3,0,6,0,minizinc_fw,0,,,,4,6.87,3.72,11900.0,6450.39,83174.0,0.46,0.14,1024.26,0.0048400000000000006,3.4120000000000004
