,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.2,0.0,0.0,0.0,163158111.0,4077269.0,2921936140.8,0.0
1,1.18,0.02,0.04,278230.48,163158111.0,3996493.67,2796569380.02,0.0145
2,1.16,0.03,0.06,470645.15,163158111.0,3936964.09,2734034592.26,0.0109
3,1.15,0.04,0.08,573657.77,163158111.0,3897771.14,2699287323.99,0.0079
4,1.14,0.05,0.08,666861.51,163158111.0,3866697.89,2674752395.35,0.0065
5,1.13,0.06,0.09,750901.12,163158111.0,3832036.48,2657327972.28,0.0069
6,1.12,0.07,0.09,819171.62,163158111.0,3801487.27,2646720438.57,0.0064
7,1.14,0.05,0.09,840826.99,163158111.0,3866750.32,2645122192.38,0.0037
8,1.13,0.05,0.1,907748.75,163158111.0,3854458.47,2636682660.73,0.0067
9,1.15,0.04,0.1,952323.23,163158111.0,3900384.84,2630332078.94,0.0044
10,1.15,0.04,0.1,990209.81,163158111.0,3916738.47,2625346889.34,0.0051
11,1.16,0.04,0.1,997110.9,163158111.0,3926508.02,2625054928.12,0.0017
12,1.16,0.04,0.1,1003925.2,163158111.0,3931382.04,2624636253.74,0.0017
13,1.16,0.03,0.1,1012542.06,163158111.0,3936212.74,2624308161.22,0.0017
14,1.15,0.04,0.1,1043359.17,163158111.0,3924896.91,2620929660.72,0.003
15,1.16,0.04,0.1,1051257.87,163158111.0,3929648.56,2620565301.0,0.0019
16,1.16,0.04,0.1,1066167.32,163158111.0,3926901.25,2619371129.24,0.0026
17,1.15,0.04,0.1,1071306.71,163158111.0,3923081.48,2618786218.79,0.0017
18,1.15,0.04,0.1,1099253.34,163158111.0,3908200.91,2616091840.36,0.0051
19,1.15,0.04,0.11,1109109.1,163158111.0,3900962.2,2614958057.72,0.0024
20,1.15,0.04,0.11,1109109.1,163158111.0,3900962.2,2614958057.72,0.0011
