,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_inconvenient,inconvenient,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,50,10,3,0,6,0,minizinc_fw,0,5000,0,5000,7,3.28,1.71,0.0,1024.13,22494.0,11725.97,329648.0,0.48,0.07,0.006725,38.5075
1,50,10,3,0,6,0,minizinc_fw,0,,,,10,3.28,1.68,0.0,1117.14,22494.0,11533.47,329648.0,0.49,0.07,0.0049454545454545445,28.20363636363636
