,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5000,1,0,10,0,0,minizinc_fw,0,31,1.2,1.04,4035731.0,3474203.84,160853482.0,0.14,0.11,0.0057906250000000015,2162.5715593750006
1,5000,1,0,10,0,0,ogsa_fw,0,31,1.2,1.04,4035731.0,3474203.84,160853482.0,0.14,0.11,0.005843750000000003,9.728290625
2,5000,1,3,10,0,0,minizinc_fw,0,19,1.2,1.06,4035731.0,3568921.49,160853482.0,0.12,0.11,0.007719999999999999,1716.3145
3,5000,1,3,10,0,0,ogsa_fw,0,26,1.2,1.04,4035731.0,3488019.29,160853482.0,0.14,0.11,0.0067777777777777775,9.318914814814818
4,5000,1,6,10,0,0,minizinc_fw,0,27,1.2,1.05,4035731.0,3511470.97,160853482.0,0.13,0.11,0.0066035714285714265,2464.5735678571427
5,5000,1,6,10,0,0,ogsa_fw,0,26,1.2,1.04,4035731.0,3471120.33,160853482.0,0.14,0.11,0.007214814814814814,9.48234074074074
6,5000,1,9,10,0,0,minizinc_fw,0,17,1.2,1.07,4035731.0,3588773.92,160853482.0,0.11,0.11,0.008105555555555553,3611.2138833333333
7,5000,1,9,10,0,0,ogsa_fw,0,25,1.2,1.04,4035731.0,3475858.28,160853482.0,0.14,0.11,0.007207692307692308,9.606688461538463
8,5000,1,0,10,0,0,minizinc_fw,1,24,1.18,1.04,3990403.0,3533017.43,162511410.0,0.11,0.14,0.006156000000000002,1909.051996
9,5000,1,0,10,0,0,ogsa_fw,1,24,1.18,1.04,3990403.0,3533017.43,162511410.0,0.11,0.14,0.006200000000000001,9.048131999999999
10,5000,1,3,10,0,0,minizinc_fw,1,27,1.18,1.02,3990403.0,3437749.14,162511410.0,0.14,0.14,0.007482142857142855,4664.096757142858
