,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,22.1,16.3,15.4,14.6,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.3,14.2,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.3,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.3,14.3
1,16.3,14.8,14.6,14.5,14.4,14.3,14.2,14.3,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
2,14.5,14.1,14.0,17.0,16.3,15.8,15.4,15.4,14.8,14.8,14.6,14.6,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
3,27.5,17.8,16.3,15.4,14.8,14.8,14.6,14.6,14.6,14.5,14.5,14.5,14.4,14.3,14.4,14.3,14.3,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4
4,17.0,15.1,14.6,14.4,14.3,14.3,14.3,14.3,14.2,14.3,14.3,14.2,14.6,14.5,14.5,14.5,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4
5,14.0,42.7,27.5,20.3,17.8,17.8,17.0,16.3,15.8,15.4,15.4,15.1,14.8,14.6,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
6,14.0,15.8,15.1,14.6,14.5,14.3,14.3,14.2,14.3,14.2,14.2,14.3,14.2,14.4,14.3,14.4,14.3,14.3,14.5,14.4,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4
7,14.0,14.0,24.5,20.3,17.8,17.0,16.3,15.8,15.8,15.4,15.4,14.8,14.6,14.6,14.6,14.6,14.5,14.5,14.4,14.3,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
8,14.0,14.0,14.0,14.5,14.3,14.3,14.2,14.3,14.2,14.2,14.2,14.2,14.4,14.3,14.3,14.3,14.3,14.3,14.4,14.3,14.3,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
9,14.0,14.0,14.3,14.0,18.9,17.8,17.0,17.0,15.8,15.8,15.4,15.4,14.8,14.8,14.6,14.6,14.6,14.6,14.5,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.4,14.4,14.5,14.4,14.4,14.4,14.4,14.4
10,75.2,27.5,22.1,17.8,17.0,15.8,15.4,15.4,15.1,14.8,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.4,14.3,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
11,14.0,14.8,14.5,14.3,14.2,14.2,14.4,14.3,14.2,14.2,14.2,14.2,14.5,14.5,14.4,14.4,14.3,14.4,14.3,14.4,14.4,14.4,14.3,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
12,14.0,14.0,14.0,22.1,20.3,17.8,17.8,17.0,16.3,15.8,15.8,15.4,14.8,14.8,14.8,14.6,14.6,14.6,14.5,14.5,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.3
13,14.0,14.0,14.0,14.4,14.3,14.2,14.2,14.3,14.3,14.3,14.2,14.2,14.5,14.4,14.4,14.4,14.3,14.3,14.8,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4
14,14.0,14.0,14.0,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.4,14.4,14.4,14.3,14.3,14.3,14.5,14.5,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4
15,14.0,14.0,14.0,14.0,14.6,14.6,14.5,14.4,14.3,14.3,14.3,14.2,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
16,14.2,14.0,14.0,14.0,14.5,14.3,14.3,14.2,14.2,14.1,14.5,14.4,14.3,14.3,14.3,14.2,14.6,14.6,14.5,14.5,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5
17,14.0,14.0,14.0,14.0,14.0,16.3,15.8,15.4,15.4,14.8,14.8,14.6,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
18,17.8,15.4,14.6,14.4,14.3,14.2,14.2,14.1,15.8,15.4,15.4,15.4,14.8,14.6,14.6,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
19,92.8,36.3,24.5,18.9,17.8,17.0,16.3,15.8,15.4,15.4,15.1,14.8,14.6,14.6,14.5,14.5,14.5,14.4,14.3,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4,14.4
20,42.7,22.1,17.8,16.3,15.4,15.4,14.8,14.8,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.8,14.8,14.8,14.6,14.6,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.3,14.4,14.4,14.4
