,0,1
0,19.559,19.559
1,20.108,15.108
2,17.087,28.087
3,20.155,14.155
4,14.393,14.393
5,8.18,8.18
6,6.649,6.649
7,8.057,8.057
8,11.45,14.95
9,7.569,11.069
10,7.007,11.407
11,22.522,18.122
12,24.665,16.165
13,30.379,17.079
14,11.659,21.459
15,12.521,17.521
16,18.27,18.27
17,13.154,21.554
18,7.16,24.16
19,18.017,18.017
20,20.232,15.232
21,11.524,15.124
22,19.983,14.103
23,24.534,23.534
24,25.174,19.174
25,25.246,22.726
26,35.149,23.699
27,13.903,21.153
28,23.77,19.37
29,21.181,18.781
30,27.201,20.001
31,24.104,19.304
32,14.664,22.164
33,14.226,19.026
34,15.097,17.197
35,16.428,16.428
36,15.81,21.81
37,24.438,18.438
38,21.343,20.143
39,16.385,16.385
40,16.052,17.252
41,22.897,22.897
42,22.898,22.898
43,5.873,14.273
44,24.647,30.647
45,20.639,21.639
46,24.298,23.798
47,33.443,18.543
