,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,3377.453,3337.1458538697016,3300.620363366562,3251.456289617393,3215.9041916197266,3177.5682421068077,3238.3282615810394,3228.6786548393266,3259.601172380691,3263.781889358033,3260.7902413334127,3464.273246583611,3457.348186352691,3447.00879608028,3440.1331260429156,3426.4828859701856,3417.1991272632504,3413.7819901359867,3410.3817701458506,3403.5689946973293,3400.663002702632,3398.006005699929,3395.292653694229,3392.5763150405346,3392.5763150405346
1,3312.151,3272.6230867981144,3236.8037210442494,3188.59012086395,3214.6206434863984,3176.260378575669,3280.4444360317193,3270.620265446932,3378.306519976065,3368.1863023839155,3358.093166344926,3383.3309891427607,3376.567876412464,3366.470126268571,3359.75680835416,3346.3820160360715,3365.565414793876,3362.2004893790822,3358.8473288897035,3359.3888733242525,3362.9925874509286,3367.3324788634777,3386.9780803846143,3409.84724430423,3409.84724430423
2,3093.141,3056.2278504233927,3022.7782576949835,2978.276477403988,3627.462033282717,3584.1711170628173,3552.2137356902563,3541.5677715481866,3520.373967275731,3509.8236127655023,3499.3048327232755,3478.3617824669973,3471.408537263846,3461.0047224062578,3454.0862519271677,3440.2918837233474,3435.0075988816375,3431.5726692827557,3428.1411696134733,3421.290262441416,3419.3512161789745,3418.1108969627953,3422.7245910658326,3428.4478084747666,3428.4478084747666
3,2930.836,2895.86225656684,2864.187921322014,3038.0516791291534,3421.7605453270703,3380.926329818465,3350.768441556056,3340.726820550156,3320.741140148556,3310.7971953055653,3300.8775260053694,3308.9023932636323,3345.577553723498,3462.796980450231,3455.874953234311,3442.072442449317,3431.767094343743,3428.335446249399,3424.907139803149,3418.0609423346827,3414.643579392348,3411.4835308129555,3409.3295662821424,3407.3485957158605,3407.3485957158605
4,2826.562,2792.847400264238,2885.7174245767574,3431.1082120127166,3393.554277081711,3353.0566455671287,3323.4373435257307,3313.4798726077056,3293.659713607246,3283.7997460106208,3273.961182898024,3279.4034143409217,3316.1280979846542,3481.498186300517,3474.5386714261026,3460.6613500777466,3450.2898494459373,3446.8402275964913,3443.3936083688945,3436.5104224667652,3433.0747140442986,3429.9614133302543,3426.590425916924,3423.230190491007,3423.230190491007
5,2858.643,2825.0685199354552,2831.778425555573,3636.1105575927113,3596.3127287798548,3553.5731890693455,3522.232132638076,3511.676059354348,3490.6590927448638,3480.197601935254,3469.767464224062,3449.000872517477,3454.8488233343146,3459.1318050258706,3452.227799145624,3438.440342377133,3428.135480085638,3424.7176426055526,3421.297303962947,3414.4592021163244,3412.3401259142083,3410.974720788294,3407.5643570675056,3404.1574637104386,3404.1574637104386
6,2656.279,3090.463687607744,3056.638206871101,3017.066018136831,2984.0561455634065,3487.5015397703824,3456.8966107631427,3446.536315136798,3425.923132354759,3415.655652286174,3405.4189378716196,3385.0374673962397,3379.0388392759146,3370.133676860247,3364.1646055352035,3350.7318849931726,3340.6910119085414,3346.103598896633,3356.2336762977366,3358.907533347817,3370.5195468144693,3454.4408542676547,3450.9867164133866,3447.536032696973,3447.536032696973
7,2511.365,3725.0692521029555,3684.2977557298154,3629.4184693207617,3589.693886516031,3546.896678774412,3515.884814969579,3505.3477166512344,3484.3897883299674,3473.947185532991,3463.5358942120456,3442.81123098199,3435.939879914257,3425.721941028766,3428.6269958926496,3414.933505270435,3404.699200885291,3401.2999156844053,3397.901022768721,3391.1091403632067,3390.8049112228437,3422.4268263116205,3419.0049494853088,3415.5865245358236,3415.5865245358236
8,2699.643,2763.0587333859453,2866.4451528420536,3476.6600350400663,3438.607473179163,3397.599042795243,3367.898199886139,3357.80519901938,3337.727783951324,3327.73310993993,3339.553284551441,3362.074362430134,3355.353821656636,3345.358236443935,3434.3854201112836,3420.6686028113836,3410.4169574861235,3407.0069355286373,3403.600038593109,3396.796352060961,3393.4004387089,3395.722681270191,3392.327503588921,3388.935737085332,3388.935737085332
9,2837.331,2822.640751512638,2938.8662429547267,2939.569081315716,3371.538796993206,3331.456171757198,3302.2529598442575,3292.3588047192525,3272.7368101368106,3262.93631473873,3322.833491666163,3362.5691376476634,3355.8475258595054,3345.8503111647647,3450.2794758397463,3436.499109719639,3426.204614751877,3422.7784451371253,3419.355697691988,3412.520591559302,3409.108182967743,3406.0468207847753,3402.6414159639903,3399.239446548026,3399.239446548026
10,2714.07,2780.259234064872,3737.4726793594646,3681.8013283407813,3641.503406518167,3598.406512384718,3566.992969473017,3556.302687976514,3535.1456262419247,3524.550842213949,3513.9878107643003,3492.9565294748286,3485.9741093724083,3475.5266414806447,3468.579067722325,3454.7255610370057,3449.0708568297905,3445.6218069729603,3442.1762191659873,3435.295454830875,3431.860313376044,3428.434041062668,3425.0063100216053,3421.582028711584,3421.582028711584
11,2821.135,2816.451499094489,3092.977806426792,3046.9466123644515,3021.6563798195134,3383.880404473876,3354.422332606218,3344.369155490985,3324.4345253052297,3314.47675114531,3304.544259008984,3285.634096044545,3279.108888088552,3289.768813388814,3292.61524383485,3331.304256954382,3427.836765287991,3424.408961522703,3420.98458156118,3414.14684097864,3410.7328551376613,3407.3223372825237,3403.915809945241,3400.512711135296,3400.512711135296
12,3203.119,3165.0407961125793,3143.6326363424655,3096.871344153542,3063.2171590031553,3576.8729580874556,3545.8307035345038,3535.203860355186,3514.0897640473786,3503.558048495444,3493.057902499552,3472.1519888746684,3465.2536218059076,3454.8690983903834,3447.9630849277014,3434.1971507053468,3442.199439626782,3438.7575971871547,3435.318921589968,3431.3000741757096,3427.8692031015335,3424.442013898432,3421.0186398845335,3417.5987282446486,3417.5987282446486
13,3505.164,3463.332603420203,3425.4282438130886,3374.4059640033834,3337.475720105297,3298.1579360465744,3269.93971771082,3260.160342455787,3306.4482515544396,3296.545020636151,3286.6676635195577,3269.071724732542,3430.8293460128016,3420.547239939003,3413.709629974365,3400.0754158269783,3389.88763715342,3386.502735516267,3383.1191547807507,3439.8936490233436,3436.454169374321,3433.0190502049463,3429.587034154741,3426.1588081205864,3426.1588081205864
