,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,5,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.37,4.83,6045.0,3119.35,30979.0,0.48,0.27,0.0,0.005233333333333334,1.9133333333333333
1,5,0,3,0,6,0,minizinc_fw,0,,,,4,9.37,4.82,6045.0,3107.65,30979.0,0.49,0.27,0.0,0.00528,1.656
2,5,1,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.37,4.83,6045.0,3119.35,30979.0,0.48,0.27,0.0,0.004966666666666667,1.88
3,5,1,3,0,6,0,minizinc_fw,0,,,,4,9.37,4.8,6045.0,3098.57,30979.0,0.49,0.27,17.24,0.00636,1.6619999999999997
4,5,50,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.37,4.83,6045.0,3119.35,30979.0,0.48,0.27,0.0,0.0052,1.8833333333333335
5,5,50,3,0,6,0,minizinc_fw,0,,,,4,9.37,4.96,6045.0,3198.28,30979.0,0.47,0.27,663.88,0.00482,1.6339999999999997
6,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.95,5.1,12143.0,6228.4,58577.0,0.49,0.19,0.0,0.009133333333333334,4.263333333333333
7,10,0,3,0,6,0,minizinc_fw,0,,,,2,9.95,5.11,12143.0,6237.74,58577.0,0.49,0.19,0.0,0.0087,3.026666666666667
8,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.95,5.1,12143.0,6228.4,58577.0,0.49,0.19,0.0,0.007199999999999999,4.2
9,10,1,3,0,6,0,minizinc_fw,0,,,,5,9.95,5.08,12143.0,6204.2,58577.0,0.49,0.19,28.87,0.004416666666666667,3.6749999999999994
10,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,2,9.95,5.1,12143.0,6228.4,58577.0,0.49,0.19,0.0,0.006966666666666666,4.083333333333333
11,10,50,3,0,6,0,minizinc_fw,0,,,,7,9.95,5.23,12143.0,6388.23,58577.0,0.47,0.19,247.24,0.0086875,3.9837500000000006
12,100,0,3,0,6,0,minizinc_fw,0,5000,0,5000,55,1.94,1.07,25312.0,13902.98,626513.0,0.45,0.06,0.0,0.006953571428571423,96.39982142857143
13,100,0,3,0,6,0,minizinc_fw,0,,,,31,1.94,1.11,25312.0,14542.45,626513.0,0.43,0.06,0.0,0.0050281250000000005,67.1128125
14,100,1,3,0,6,0,minizinc_fw,0,5000,0,5000,56,1.94,1.06,25312.0,13884.05,626513.0,0.45,0.06,0.0,0.007145614035087719,96.03052631578953
15,100,1,3,0,6,0,minizinc_fw,0,,,,55,1.94,1.04,25312.0,13512.51,626513.0,0.47,0.06,1949.27,0.003921428571428571,72.27125000000001
16,100,50,3,0,6,0,minizinc_fw,0,5000,0,5000,38,1.94,1.08,25312.0,14032.35,626513.0,0.45,0.06,0.0,0.008533333333333335,95.77692307692305
17,100,50,3,0,6,0,minizinc_fw,0,,,,92,1.94,1.18,25312.0,15444.39,626513.0,0.39,0.06,8304.2,0.005967741935483867,72.96580645161288
