,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3195.424,3138.660202485348,3114.610280762682,3075.083596538628,3053.9149370582313,3168.843444111184,3134.7178277340577,3113.861925113063,3110.5549574691604,3263.2309897470923,3253.567267945356,3235.5041766321333,3225.8699417631415,3215.660077561104,3208.0735768892896,3274.833077287088,3368.6625801421264,3345.3346003789493,3335.373359835013,3332.0550144751783,3332.0550144751783
1,2968.075,2915.392811852464,2903.0637470398187,3011.7447937867414,2992.473523165683,3595.847955171093,3556.5773943695103,3531.812286043815,3503.6812740589576,3475.826039500432,3465.445006339243,3441.3822847585734,3431.093075975984,3417.4773642677924,3407.46132289706,3470.5949056685895,3453.390723929289,3429.3518377239734,3419.074562298477,3415.6567877361786,3415.6567877361786
2,2787.844,2791.1690881033896,2858.104439446754,3423.5895213188564,3399.749587877315,3373.2039682769782,3336.3767511671604,3313.150036007736,3286.762076185008,3260.879560332061,3251.3051444530797,3244.7375714443483,3235.0598039525794,3238.1471658328164,3274.731083016657,3406.299051957707,3389.3504528103567,3365.8376621109237,3355.8629513679152,3352.530261416547,3352.530261416547
3,2891.209,2840.085582998006,2855.0425999201366,3683.037289518473,3657.333494742706,3628.1774740028814,3588.5411857903014,3563.498362181924,3535.091253377064,3506.914681352987,3496.4051528472905,3472.034647823145,3461.6313601063866,3447.829311000808,3437.664345813026,3433.1090599037457,3415.982536920363,3407.2719926542995,3397.128982194322,3393.7448612121275,3393.7448612121275
4,2783.694,3472.89890040962,3442.149565742452,3391.5091409869265,3367.845493643916,3341.0021583661046,3304.455748320516,3281.547968099825,3255.674700693418,3230.0009600346066,3220.410020491204,3209.812516271615,3376.765622259072,3363.2928417901358,3353.225634187197,3346.583683555457,3329.961392980031,3405.036439639008,3394.8866403669704,3391.4971407266034,3391.4971407266034
5,2734.934,3705.5952070174,3672.37799456264,3617.6767946397604,3592.429641575531,3563.791460502196,3524.792137240545,3500.2053869269275,3472.313519871614,3444.680608049234,3434.360469247422,3410.3984868058205,3415.1516959658516,3401.7493334870364,3391.715996515784,3384.9441861217488,3368.781018868142,3432.805994581101,3422.5163849133473,3419.094262528434,3419.094262528434
6,2801.952,2871.0215257116,2892.959941986013,3456.5908749900686,3432.4689023192373,3405.1068619643543,3367.8470602748753,3344.367666997268,3317.717812134896,3291.3044630987565,3281.511428276238,3317.564198683966,3310.709799059424,3313.020606761679,3303.704583178766,3297.7214730639917,3316.648049673377,3411.86030153085,3401.661404426861,3401.8373920224335,3401.8373920224335
7,2809.5,2773.372089215505,3619.166362875955,3565.260008663911,3540.3783601251866,3512.1547760362887,3473.718523317538,3449.480491749572,3421.985273501406,3394.710866998278,3385.2688007613797,3362.920501491709,3354.2531521177307,3377.5585442747165,3367.655842948321,3360.9525245982672,3344.632444791366,3335.8430450522046,3325.8666482851386,3339.1901416368532,3339.1901416368532
8,2803.966,2799.3593325695338,3103.80736179326,3057.608972886853,3036.370904277182,3017.175031426587,3381.414306497794,3357.825054512404,3331.063970436405,3304.5906065012355,3313.74470148097,3290.8573213063764,3282.125752734986,3457.0967983324745,3446.7373922532815,3439.8482897431672,3422.6860271612986,3398.844882816417,3388.9809625017333,3389.9269125392316,3389.9269125392316
9,2769.2,3557.3829414161705,3525.494764345628,3472.9823802867695,3449.1104210380417,3421.6472749345985,3384.6840936328267,3361.0814294278266,3334.313127652364,3308.1647831841283,3415.5637742084127,3391.7662924716374,3381.6396020391585,3395.7423958030486,3385.586691094205,3378.8318967987075,3362.00552872043,3338.7343098074975,3332.913553970695,3343.496867416724,3343.496867416724
10,2999.107,2959.1378674473,2943.6617632824414,2927.2236059326256,3273.3016555386175,3247.2242661318774,3211.8199718949722,3189.5440440235398,3164.3732257480856,3183.4256404156495,3428.776773711873,3404.8517291774738,3394.6539425784654,3381.129478418425,3371.0421020877816,3364.3237887207083,3347.5923062217958,3324.4989146725975,3403.9442870144085,3403.3960077273937,3403.3960077273937
11,2982.335,2958.4917379831154,2952.3721395526677,2959.216494152451,3589.3411559503566,3560.7273812116546,3521.8342269151553,3497.256625490535,3469.381625403727,3441.7278020373346,3431.4179423675696,3407.480341372214,3397.278081412965,3383.7288299096012,3373.662701262628,3366.952930423804,3350.2454990659676,3327.436487887658,3379.1414034849713,3375.7668630814865,3375.7668630814865
12,3306.568,3249.260260394699,3222.13803286633,3177.9648794224213,3201.8451768054124,3176.4768258695785,3142.009464437537,3120.5554959506744,3504.911339654508,3476.9711463730055,3466.5529740551265,3442.377625033504,3432.0656020594975,3418.364152960284,3408.125330153506,3401.3653731625295,3384.5431893255773,3402.140754878218,3403.2306335430935,3399.8352239095507,3399.8352239095507
13,3571.987,3508.2319893129884,3476.872630013081,3425.086818392721,3402.1258225413853,3375.0249872350446,3338.2363954038506,3315.225586152989,3307.294302616171,3410.347225666612,3400.1432547665627,3376.56540688534,3366.4726781252953,3353.0695728329924,3343.1081421894123,3336.4970211191758,3320.0495089493884,3408.456465711991,3398.4407519117863,3395.059916159875,3395.059916159875
14,3355.708,3295.8328358780486,3266.308076323307,3217.7160518512915,3195.2886504469607,3170.4646516303014,3139.364528235547,3230.685231961447,3205.123725642776,3618.4914415679273,3607.647118799157,3582.469823612607,3571.7333917348483,3557.4681498711734,3546.8066030796044,3539.7166586190488,3522.054499985197,3497.6311403065724,3487.1653887079333,3483.6794313192254,3483.6794313192254
