,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,3.31,1.71,4062.0,2100.78,58956.0,0.48,0.1,0.0,0.015433333333333334,4.1066666666666665
1,10,0,3,0,6,0,minizinc_fw,0,,,,10,3.31,1.78,4062.0,2190.1,58956.0,0.46,0.1,0.0,0.007372727272727273,3.8890909090909087
2,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,4,3.31,2.24,4062.0,2746.96,58956.0,0.32,0.1,103.05,0.0056,5.116
3,10,1,3,0,6,0,minizinc_fw,0,,,,10,3.31,1.78,4062.0,2190.1,58956.0,0.46,0.1,0.0,0.007172727272727274,3.855454545454545
4,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,6,3.31,2.3,4062.0,2824.36,58956.0,0.3,0.1,2440.99,0.009385714285714287,5.514285714285714
5,10,50,3,0,6,0,minizinc_fw,0,,,,10,3.31,1.78,4062.0,2190.1,58956.0,0.46,0.1,0.0,0.0069,3.9345454545454546
6,100,0,3,0,6,0,minizinc_fw,0,5000,0,5000,34,1.77,1.09,22640.0,13907.9,614895.0,0.39,0.13,0.0,0.012299999999999998,95.38657142857141
7,100,0,3,0,6,0,minizinc_fw,0,,,,35,1.77,1.06,22640.0,13535.02,614895.0,0.4,0.13,0.0,0.006711111111111112,67.52111111111111
8,100,1,3,0,6,0,minizinc_fw,0,5000,0,5000,45,1.77,1.13,22640.0,14450.16,614895.0,0.36,0.13,10681.64,0.012784782608695651,97.23695652173912
9,100,1,3,0,6,0,minizinc_fw,0,,,,35,1.77,1.06,22640.0,13535.02,614895.0,0.4,0.13,0.0,0.006194444444444444,65.86416666666668
10,100,50,3,0,6,0,minizinc_fw,0,5000,0,5000,6,1.77,1.29,22640.0,16468.97,614895.0,0.27,0.12,31919.93,0.018957142857142856,87.07428571428571
11,100,50,3,0,6,0,minizinc_fw,0,,,,35,1.77,1.06,22640.0,13535.02,614895.0,0.4,0.13,0.0,0.006166666666666666,67.54222222222222
