,count,mean,std,min,25%,50%,75%,max
#Households,18.0,3516.6666666666665,3596.7305415106225,50.0,500.0,2000.0,6000.0,10000.0
Pricing time per iteration (second),18.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01
