,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
4000.0,3.0,Actual,Cost Reduction,0.07,0.07,0.07
4000.0,3.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
6000.0,3.0,Preferred,PAR,1.14,1.14,1.14
6000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
6000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
6000.0,3.0,Optimised,PAR,1.02,1.02,1.02
6000.0,3.0,Optimised,Demand Reduction,0.1,0.1,0.1
6000.0,3.0,Optimised,Cost Reduction,0.14,0.14,0.14
6000.0,3.0,Actual,PAR,1.03,1.05,1.06
6000.0,3.0,Actual,PAR Distance,0.010000000000000009,0.030000000000000027,0.040000000000000036
6000.0,3.0,Actual,Demand Reduction,0.07,0.07,0.1
6000.0,3.0,Actual,Demand Reduction Distance,0.0,0.03,0.03
6000.0,3.0,Actual,Cost Reduction,0.14,0.14,0.14
6000.0,3.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
8000.0,3.0,Preferred,PAR,1.15,1.15,1.15
8000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
8000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
8000.0,3.0,Optimised,PAR,1.04,1.04,1.04
8000.0,3.0,Optimised,Demand Reduction,0.1,0.1,0.1
8000.0,3.0,Optimised,Cost Reduction,0.14,0.14,0.14
8000.0,3.0,Actual,PAR,1.04,1.04,1.07
8000.0,3.0,Actual,PAR Distance,0.0,0.0,0.030000000000000027
8000.0,3.0,Actual,Demand Reduction,0.07,0.09,0.09
8000.0,3.0,Actual,Demand Reduction Distance,0.010000000000000009,0.010000000000000009,0.03
8000.0,3.0,Actual,Cost Reduction,0.13,0.13,0.14
8000.0,3.0,Actual,Cost Reduction Distance,0.0,0.010000000000000009,0.010000000000000009
10000.0,3.0,Preferred,PAR,1.2,1.2,1.2
10000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,3.0,Optimised,PAR,1.05,1.05,1.05
10000.0,3.0,Optimised,Demand Reduction,0.13,0.13,0.13
10000.0,3.0,Optimised,Cost Reduction,0.11,0.11,0.11
10000.0,3.0,Actual,PAR,1.04,1.05,1.07
10000.0,3.0,Actual,PAR Distance,0.0,0.010000000000000009,0.020000000000000018
10000.0,3.0,Actual,Demand Reduction,0.1,0.12,0.13
10000.0,3.0,Actual,Demand Reduction Distance,0.0,0.010000000000000009,0.03
10000.0,3.0,Actual,Cost Reduction,0.11,0.11,0.11
10000.0,3.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
50.0,4.0,Preferred,PAR,1.7,1.7,1.7
50.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
50.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
50.0,4.0,Optimised,PAR,1.01,1.01,1.01
50.0,4.0,Optimised,Demand Reduction,0.4,0.4,0.4
50.0,4.0,Optimised,Cost Reduction,0.09,0.09,0.09
50.0,4.0,Actual,PAR,1.55,1.73,2.11
50.0,4.0,Actual,PAR Distance,0.54,0.72,1.0999999999999999
50.0,4.0,Actual,Demand Reduction,-0.24,-0.02,0.09
50.0,4.0,Actual,Demand Reduction Distance,0.31000000000000005,0.42000000000000004,0.64
50.0,4.0,Actual,Cost Reduction,-1.34,-0.11,0.06
50.0,4.0,Actual,Cost Reduction Distance,0.03,0.2,1.4300000000000002
100.0,4.0,Preferred,PAR,1.74,1.74,1.74
100.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
100.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
100.0,4.0,Optimised,PAR,1.09,1.09,1.09
100.0,4.0,Optimised,Demand Reduction,0.37,0.37,0.37
100.0,4.0,Optimised,Cost Reduction,0.07,0.07,0.07
100.0,4.0,Actual,PAR,1.33,1.42,1.64
100.0,4.0,Actual,PAR Distance,0.24,0.32999999999999985,0.5499999999999998
100.0,4.0,Actual,Demand Reduction,0.06,0.19,0.24
100.0,4.0,Actual,Demand Reduction Distance,0.13,0.18,0.31
100.0,4.0,Actual,Cost Reduction,0.02,0.06,0.06
100.0,4.0,Actual,Cost Reduction Distance,0.010000000000000009,0.010000000000000009,0.05
500.0,4.0,Preferred,PAR,1.29,1.29,1.29
500.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
500.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
500.0,4.0,Optimised,PAR,1.04,1.04,1.04
500.0,4.0,Optimised,Demand Reduction,0.19,0.19,0.19
500.0,4.0,Optimised,Cost Reduction,0.1,0.1,0.1
500.0,4.0,Actual,PAR,1.16,1.19,1.23
500.0,4.0,Actual,PAR Distance,0.11999999999999988,0.1499999999999999,0.18999999999999995
500.0,4.0,Actual,Demand Reduction,0.05,0.07,0.1
500.0,4.0,Actual,Demand Reduction Distance,0.09,0.12,0.14
500.0,4.0,Actual,Cost Reduction,0.05,0.06,0.07
500.0,4.0,Actual,Cost Reduction Distance,0.03,0.04000000000000001,0.05
1000.0,4.0,Preferred,PAR,1.23,1.23,1.23
1000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
1000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
1000.0,4.0,Optimised,PAR,1.06,1.06,1.06
1000.0,4.0,Optimised,Demand Reduction,0.14,0.14,0.14
1000.0,4.0,Optimised,Cost Reduction,0.13,0.13,0.13
1000.0,4.0,Actual,PAR,1.13,1.14,1.2
1000.0,4.0,Actual,PAR Distance,0.06999999999999984,0.07999999999999985,0.1399999999999999
1000.0,4.0,Actual,Demand Reduction,0.03,0.08,0.08
1000.0,4.0,Actual,Demand Reduction Distance,0.06000000000000001,0.06000000000000001,0.11000000000000001
1000.0,4.0,Actual,Cost Reduction,0.09,0.11,0.12
1000.0,4.0,Actual,Cost Reduction Distance,0.010000000000000009,0.020000000000000004,0.04000000000000001
2000.0,4.0,Preferred,PAR,1.29,1.29,1.29
2000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
2000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
2000.0,4.0,Optimised,PAR,1.09,1.09,1.09
2000.0,4.0,Optimised,Demand Reduction,0.16,0.16,0.16
2000.0,4.0,Optimised,Cost Reduction,0.1,0.1,0.1
2000.0,4.0,Actual,PAR,1.1,1.12,1.18
2000.0,4.0,Actual,PAR Distance,0.010000000000000009,0.030000000000000027,0.08999999999999986
2000.0,4.0,Actual,Demand Reduction,0.09,0.13,0.15
2000.0,4.0,Actual,Demand Reduction Distance,0.010000000000000009,0.03,0.07
2000.0,4.0,Actual,Cost Reduction,0.09,0.09,0.09
2000.0,4.0,Actual,Cost Reduction Distance,0.010000000000000009,0.010000000000000009,0.010000000000000009
4000.0,4.0,Preferred,PAR,1.21,1.21,1.21
4000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
4000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
4000.0,4.0,Optimised,PAR,1.07,1.07,1.07
4000.0,4.0,Optimised,Demand Reduction,0.12,0.12,0.12
4000.0,4.0,Optimised,Cost Reduction,0.11,0.11,0.11
4000.0,4.0,Actual,PAR,1.07,1.08,1.09
4000.0,4.0,Actual,PAR Distance,0.0,0.010000000000000009,0.020000000000000018
4000.0,4.0,Actual,Demand Reduction,0.1,0.11,0.12
4000.0,4.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.01999999999999999
4000.0,4.0,Actual,Cost Reduction,0.1,0.11,0.11
4000.0,4.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
6000.0,4.0,Preferred,PAR,1.19,1.19,1.19
6000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
6000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
6000.0,4.0,Optimised,PAR,1.04,1.04,1.04
6000.0,4.0,Optimised,Demand Reduction,0.13,0.13,0.13
6000.0,4.0,Optimised,Cost Reduction,0.12,0.12,0.12
6000.0,4.0,Actual,PAR,1.05,1.06,1.09
6000.0,4.0,Actual,PAR Distance,0.010000000000000009,0.020000000000000018,0.050000000000000044
6000.0,4.0,Actual,Demand Reduction,0.09,0.11,0.12
6000.0,4.0,Actual,Demand Reduction Distance,0.010000000000000009,0.020000000000000004,0.04000000000000001
6000.0,4.0,Actual,Cost Reduction,0.11,0.12,0.12
6000.0,4.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
8000.0,4.0,Preferred,PAR,1.17,1.17,1.17
8000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
8000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
8000.0,4.0,Optimised,PAR,1.04,1.04,1.04
8000.0,4.0,Optimised,Demand Reduction,0.11,0.11,0.11
8000.0,4.0,Optimised,Cost Reduction,0.12,0.12,0.12
8000.0,4.0,Actual,PAR,1.04,1.05,1.08
8000.0,4.0,Actual,PAR Distance,0.0,0.010000000000000009,0.040000000000000036
8000.0,4.0,Actual,Demand Reduction,0.08,0.1,0.11
8000.0,4.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.03
8000.0,4.0,Actual,Cost Reduction,0.11,0.12,0.12
8000.0,4.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
10000.0,4.0,Preferred,PAR,1.18,1.18,1.18
10000.0,4.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,4.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,4.0,Optimised,PAR,1.02,1.02,1.02
10000.0,4.0,Optimised,Demand Reduction,0.13,0.13,0.13
10000.0,4.0,Optimised,Cost Reduction,0.13,0.13,0.13
10000.0,4.0,Actual,PAR,1.04,1.04,1.07
10000.0,4.0,Actual,PAR Distance,0.020000000000000018,0.020000000000000018,0.050000000000000044
10000.0,4.0,Actual,Demand Reduction,0.1,0.12,0.12
10000.0,4.0,Actual,Demand Reduction Distance,0.010000000000000009,0.010000000000000009,0.03
10000.0,4.0,Actual,Cost Reduction,0.13,0.13,0.13
10000.0,4.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
