,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
8000.0,0.0,Actual,PAR Distance,0.010000000000000009,0.010000000000000009,0.030000000000000027
8000.0,0.0,Actual,Demand Reduction,0.08,0.1,0.11
8000.0,0.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.020000000000000004
8000.0,0.0,Actual,Cost Reduction,0.09,0.09,0.09
8000.0,0.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
10000.0,0.0,Preferred,PAR,1.16,1.16,1.16
10000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,0.0,Optimised,PAR,1.04,1.04,1.04
10000.0,0.0,Optimised,Demand Reduction,0.1,0.1,0.1
10000.0,0.0,Optimised,Cost Reduction,0.13,0.13,0.13
10000.0,0.0,Actual,PAR,1.03,1.05,1.06
10000.0,0.0,Actual,PAR Distance,0.0,0.010000000000000009,0.020000000000000018
10000.0,0.0,Actual,Demand Reduction,0.09,0.1,0.11
10000.0,0.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.010000000000000009
10000.0,0.0,Actual,Cost Reduction,0.13,0.13,0.13
10000.0,0.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
50.0,1.0,Preferred,PAR,2.5,2.5,2.5
50.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
50.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
50.0,1.0,Optimised,PAR,1.29,1.29,1.29
50.0,1.0,Optimised,Demand Reduction,0.48,0.48,0.48
50.0,1.0,Optimised,Cost Reduction,0.09,0.09,0.09
50.0,1.0,Actual,PAR,1.9,2.09,2.61
50.0,1.0,Actual,PAR Distance,0.6099999999999999,0.7999999999999998,1.3199999999999998
50.0,1.0,Actual,Demand Reduction,-0.05,0.16,0.24
50.0,1.0,Actual,Demand Reduction Distance,0.24,0.31999999999999995,0.53
50.0,1.0,Actual,Cost Reduction,-0.34,0.07,0.08
50.0,1.0,Actual,Cost Reduction Distance,0.009999999999999995,0.01999999999999999,0.43000000000000005
100.0,1.0,Preferred,PAR,1.67,1.67,1.67
100.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
100.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
100.0,1.0,Optimised,PAR,1.05,1.05,1.05
100.0,1.0,Optimised,Demand Reduction,0.37,0.37,0.37
100.0,1.0,Optimised,Cost Reduction,0.11,0.11,0.11
100.0,1.0,Actual,PAR,1.53,1.61,1.84
100.0,1.0,Actual,PAR Distance,0.48,0.56,0.79
100.0,1.0,Actual,Demand Reduction,-0.1,0.04,0.08
100.0,1.0,Actual,Demand Reduction Distance,0.29,0.33,0.47
100.0,1.0,Actual,Cost Reduction,-0.46,0.07,0.08
