,0,1
0,14.3,14.0
1,14.5,14.0
2,14.0,14.0
3,14.5,14.0
4,14.0,14.0
5,14.0,14.0
6,14.0,14.0
7,14.0,14.0
8,14.0,14.0
9,14.0,14.0
10,14.0,14.0
11,15.4,14.0
12,17.0,14.0
13,50.9,14.0
14,14.0,14.3
15,14.0,14.4
16,14.1,14.1
17,14.0,14.4
18,14.0,16.3
19,14.1,15.4
20,14.5,14.0
21,14.0,14.3
22,14.4,14.8
23,17.0,14.0
24,17.8,14.0
25,17.8,14.5
26,230.4,14.3
27,14.0,14.6
28,15.8,15.8
29,14.6,14.6
30,22.1,14.8
31,16.3,14.3
32,14.0,15.8
33,14.0,22.1
34,14.0,15.4
35,14.0,14.5
36,14.0,14.3
37,17.0,14.8
38,14.6,14.2
39,14.0,17.0
40,14.0,14.8
41,15.4,16.3
42,15.4,50.9
43,14.0,17.0
44,17.0,14.3
45,14.5,15.4
46,16.3,42.7
47,144.6,15.4
