,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1210.914,1189.4753677165188,1164.217226714483,1418.8933000195718,1419.148481521049,1419.8853139741364,1422.9863972150858,1464.0346783449893,1497.6047825710405,1517.4195782112163,1510.7855774965246,1502.2900328650005,1502.2900328650005
1,1140.492,1120.262200087524,1102.0346133476457,1172.8271061169032,1180.8919378666471,1180.414763480911,1182.4758142731969,1220.719626257405,1252.115079397542,1270.6491896868067,1262.428920714526,1252.2135586017537,1252.2135586017537
2,1148.16,1133.313582363756,1318.9551841051778,1298.7528318898092,1445.7141786800362,1438.5546661379033,1433.1688369527822,1427.191945600757,1425.4869093570178,1426.9756878574308,1444.0000489368224,1428.2072921885213,1428.2072921885213
3,1001.3,988.3322610025335,1138.6942479638321,1120.2749970369232,1274.0099610270117,1267.779529551919,1263.2663308760448,1259.9709290118408,1263.8817848295243,1275.7642470871742,1351.5975711282158,1345.0210532332296,1345.0210532332296
4,1125.247,1326.3151063344737,1296.1431021554174,1274.320662930624,1280.0379690040477,1273.691080635886,1268.749798416363,1262.2709077587165,1259.2705349692471,1260.0632221484377,1276.5395522523495,1266.471877279355,1266.471877279355
5,934.093,1483.8385858780266,1450.092080537595,1425.6370317705776,1417.1053915768243,1410.0346901702255,1405.02860679534,1405.4856851249328,1407.6881224176457,1403.469336650091,1390.8873681841967,1375.6645664467299,1375.6645664467299
6,946.135,1243.9400016012808,1322.83282254387,1300.5247865070667,1292.7433161711606,1286.2952536179832,1282.7681077334753,1290.9919494845053,1362.68079359949,1358.9420864195893,1352.7814013485242,1345.2491097521213,1345.2491097521213
7,1026.146,1027.2057674372593,1296.2999933360963,1274.438682864577,1266.8121413763054,1260.4920634717078,1255.9791861776796,1253.6814760409586,1278.4659501188705,1274.7959786878166,1266.820780949162,1257.315827224246,1257.315827224246
8,1049.452,1045.6289627707947,1508.0375017230926,1499.6972524531232,1490.721534425733,1483.2828240591953,1477.3585945162629,1468.5165738030628,1461.1886614219607,1456.8094835364923,1443.7491013903204,1427.9470625682666,1427.9470625682666
9,1026.05,1015.7916660950009,1182.8823555866616,1438.785939144061,1430.1946468104882,1423.1635598196212,1417.494388427439,1409.010662169087,1401.9796898718105,1397.7779583362858,1385.2467804226144,1370.0850372468271,1370.0850372468271
10,1145.83,1125.4250238034347,1102.180861289425,1347.7305867305288,1341.8880186796118,1364.2353292481127,1442.379098548613,1433.7819160013357,1426.765403486399,1423.0754616789388,1418.452131524846,1442.4632054779213,1442.4632054779213
11,1239.838,1217.710549223583,1190.038692179056,1178.6419023888172,1173.4757414523244,1193.3654535216144,1281.4363751813366,1273.7994036447215,1267.5901226133308,1264.2219516630114,1257.5329916789292,1312.0260990310894,1312.0260990310894
12,1402.937,1377.8976606932135,1346.55224000125,1323.843795747962,1315.9416254587113,1310.2885947046393,1311.525163925505,1303.6797593472625,1297.279384108154,1293.5186921561635,1282.4587843631477,1283.4470475317537,1283.4470475317537
13,1463.854,1437.7274254718275,1405.0213156699115,1381.327079139213,1373.0602757962936,1366.2101234291997,1360.7555556088328,1352.6459938442993,1345.9778285486666,1342.9983035753373,1349.2480980144048,1347.6706579189847,1347.6706579189847
14,1382.38,1357.70787944463,1326.822661235214,1304.4474053138113,1296.640979726017,1290.1719059196153,1285.0198248608465,1277.3613225160045,1271.0674811800716,1268.0367085307064,1271.91733432856,1267.8794733545458,1267.8794733545458
15,1564.065,1536.1498604406272,1501.2043525948536,1475.8870251373298,1467.0538117962717,1459.733198612204,1453.903018379474,1445.201403698292,1437.989854209088,1433.6802181570404,1420.8272454439839,1405.2761557808037,1405.2761557808037
16,1512.503,1485.50812937188,1451.7146582224982,1427.2319585063824,1418.6899467114824,1411.6106696975849,1405.9726910377815,1397.557916383548,1390.5840884122013,1386.4165125026477,1373.9872446149761,1358.9487717482104,1358.9487717482104
17,1569.405,1541.3945709672948,1506.3297524490545,1480.926037369317,1472.062671424366,1464.7170739607106,1458.867004085924,1450.1356798510842,1442.8994933045299,1438.575134068201,1425.6782421972982,1410.1311475547575,1410.1311475547575
18,1492.063,1465.4345092760877,1432.1003952390276,1407.9521939740805,1399.529462218203,1392.5485706589927,1386.9895858058424,1378.7331993503071,1384.466829620023,1380.328298422761,1368.0136778576664,1353.9300126341795,1353.9300126341795
19,1391.089,1366.2627635798196,1335.185138975679,1312.6721074458096,1304.8224777814894,1298.3142848014352,1293.132015547187,1285.4574961476035,1317.3994957517227,1313.4688854964404,1301.7940075554186,1301.5288608585813,1301.5288608585813
20,1390.216,1365.4046308080055,1334.345685958008,1311.8453780350658,1304.0017198012085,1297.5008259980957,1292.3304886662545,1284.6753878248953,1317.8775451336433,1313.9465840812463,1302.2814807762509,1378.5796164478063,1378.5796164478063
21,1391.922,1367.079647004727,1335.9808687036991,1313.451111971674,1305.5949765635432,1299.1734575681746,1294.389337900543,1287.323930010602,1292.6745534071597,1288.8135513243099,1277.3305290247217,1363.6244343099709,1363.6244343099709
