,0,1,2,3,4,5,6,7
0,1614.415,1591.9595157307424,1563.5952156065503,1546.5931257895822,1533.5254768139391,1530.8193016247883,1539.9966363231636,1539.9966363231636
1,1457.061,1436.8483587865644,1412.0756321072524,1396.6702621344014,1383.5103875716925,1380.8311051079365,1383.0025900028286,1383.0025900028286
2,1412.106,1401.4606081208156,1723.5242915614247,1708.9026100514736,1891.4845282670497,1927.690167335044,1945.8247241677088,1945.8247241677088
3,1303.376,1292.926841414033,1343.3503385183715,1329.7619457103483,1359.5591130510004,1365.4477290440113,1368.3966433149674,1368.3966433149674
4,1359.038,1902.051700587631,1868.102365771015,1847.6556777563726,1829.262044153169,1825.6053493269067,1823.77985797758,1823.77985797758
5,1258.688,1677.4803231417472,1797.6485752013043,1777.9730155261057,1760.273081172708,1756.754295283444,1754.9975419881605,1754.9975419881605
6,1281.443,1362.7596397891803,1881.9199137036362,1861.7084750612082,1843.1749441774468,1839.490437464036,1837.6509470265719,1837.6509470265719
7,1318.612,1306.5747398933945,1524.6664114974276,1520.4480529682073,1505.3118104660537,1502.3026921569322,1500.8003894647752,1500.8003894647752
8,1415.028,1395.9383312084499,1440.2984582649717,1867.8538207276229,1849.2591121916003,1845.5624432263294,1843.7168807831029,1843.7168807831029
9,1323.105,1304.8769327901834,1294.421144364963,1625.3483279382456,1812.2383071412848,1808.6156427653098,1806.8070271225445,1806.8070271225445
10,1399.265,1379.8057316147879,1355.2446314677757,1414.211381808593,1667.0070807408335,1663.7923467504327,1670.9634864036823,1670.9634864036823
11,1471.374,1450.908124923768,1425.022190794292,1410.7857364029953,1465.762151389936,1463.0085125953076,1474.7978970827123,1474.7978970827123
12,1570.156,1548.3161302278031,1520.6851905095075,1504.0602385062807,1495.7691942555693,1492.8611266282521,1493.261306501624,1493.261306501624
13,1629.062,1606.4027852908669,1577.730427966754,1560.4629265273745,1545.1215899060364,1542.0363401228142,1540.5022077826916,1540.5022077826916
14,1613.611,1591.1666988585953,1562.7662873493223,1545.661552992838,1530.2743070776078,1527.2154486577597,1525.688313209102,1525.688313209102
15,1769.431,1744.8193419157792,1713.6764155616188,1694.9199450014103,1678.0468139140346,1674.6923983330203,1673.0177059346872,1673.0177059346872
16,1692.486,1668.944597851891,1639.1559444071124,1621.2151126750107,1605.0757220225642,1601.867175654241,1600.2653084785868,1600.2653084785868
17,1740.394,1716.186228089239,1685.5543683731923,1667.105698250332,1650.5094613212384,1647.2100929080573,1645.5628828151494,1645.5628828151494
18,1740.159,1715.954496789545,1685.3267731984413,1666.880594142247,1650.286598151515,1646.98767524181,1645.3406875665682,1645.3406875665682
19,1809.365,1784.1978854136971,1752.3520994278094,1733.172317138943,1715.918379104677,1712.4882582648465,1710.7757700065818,1710.7757700065818
20,1663.407,1640.2700682185975,1610.9932206342633,1593.360634551424,1577.4985385653927,1574.3451189868003,1572.7707738678134,1572.7707738678134
21,1854.817,1829.0176770465762,1796.3719116952025,1776.7103253123068,1759.0229611912455,1755.5066742918245,1753.7511676175327,1753.7511676175327
22,1717.488,1693.5988359581406,1663.370134020537,1645.164273995755,1628.7864665734846,1625.5305224268043,1623.9049919043775,1623.9049919043775
23,1778.428,1753.691199376859,1722.3899210392585,1703.5380797267408,1686.5791540758057,1683.2076823468083,1681.5244746644616,1681.5244746644616
24,1824.716,1799.335362782269,1767.219391034708,1747.8768837910002,1730.4765600342485,1727.0173373907398,1725.2903200533492,1725.2903200533492
25,1818.235,1792.944509363878,1760.942606662073,1741.6687998569253,1724.3302783194054,1720.8833420930448,1719.1624587509518,1719.1624587509518
26,1673.2,1649.9268538267286,1620.4776442357463,1602.741249574784,1586.7857684424891,1583.6137836913724,1582.0301699076813,1582.0301699076813
27,1619.993,1597.4599293039225,1568.9471912015292,1551.77480583457,1536.3267017549924,1533.2555846781843,1531.722329093506,1531.722329093506
28,1769.218,1744.609304610098,1713.470127169183,1694.7159144693994,1677.8448145304103,1674.490802746164,1672.816311943418,1672.816311943418
29,1698.476,1674.8512807675152,1644.9572001380302,1626.9528727066577,1610.7563619657687,1607.5364599981992,1605.928923538201,1605.928923538201
30,1764.065,1739.5279795576428,1708.4794976564258,1689.7799082184683,1672.9579468129932,1669.613703877314,1667.9440901734367,1667.9440901734367
31,1838.78,1813.2037415010232,1780.8402358760488,1761.3486462426017,1743.814209476859,1740.328324872115,1738.587996547243,1738.587996547243
32,1992.53,1964.815176939619,1929.7455895703151,1908.624206320371,1889.6236237118776,1885.8462660880773,1883.9604198219893,1883.9604198219893
33,1862.645,1836.7367945530043,1803.9532522397149,1784.2086868361364,1766.446675627875,1762.915548723295,1761.1526331745717,1761.1526331745717
34,1921.753,1895.0226399247415,1861.198765385476,1840.827638413872,1822.5019787602557,1818.8587973047138,1817.039938507409,1817.039938507409
35,2046.245,2017.7830355060207,1981.768035578038,1960.0772580899788,1940.5644541875447,1936.6852658436237,1934.7485805777803,1934.7485805777803
