,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.19,0.0,0.0,0.0,161681520.0,4007989.0,2859259767.4,0.0,2859259767.4
1,1.18,0.01,0.02,108922.17,161681520.0,3976051.29,2812276142.62,0.0102,2812385064.79
2,1.17,0.02,0.04,277395.23,161681520.0,3924301.1,2745982078.29,0.0167,2746259473.52
3,1.16,0.03,0.05,354271.34,161681520.0,3897174.96,2718858973.86,0.009,2719213245.2000003
4,1.14,0.04,0.06,499536.64,161681520.0,3851835.79,2677083422.04,0.0131,2677582958.68
5,1.13,0.05,0.07,615475.83,161681520.0,3814318.94,2648267666.1,0.0115,2648883141.93
6,1.13,0.05,0.08,697952.57,161681520.0,3790523.57,2632293759.02,0.0068,2632991711.59
7,1.12,0.06,0.09,785703.22,161681520.0,3761577.84,2614763232.84,0.0099,2615548936.06
8,1.11,0.07,0.09,824847.21,161681520.0,3742457.74,2606225047.73,0.0068,2607049894.94
9,1.1,0.07,0.09,841846.74,161681520.0,3716528.84,2596640954.91,0.0091,2597482801.6499996
10,1.1,0.08,0.09,910461.47,161681520.0,3693380.68,2588377090.08,0.0075,2589287551.5499997
11,1.09,0.08,0.1,932352.88,161681520.0,3682960.17,2585518600.62,0.0043,2586450953.5
12,1.09,0.08,0.1,952510.21,161681520.0,3672164.96,2582758280.59,0.0044,2583710790.8
13,1.09,0.09,0.1,975835.23,161681520.0,3663208.0,2580828772.58,0.0027,2581804607.81
14,1.09,0.09,0.1,992700.16,161681520.0,3656404.61,2579217316.87,0.0027,2580210017.0299997
15,1.07,0.1,0.1,999028.27,161681520.0,3620097.82,2573535732.02,0.0107,2574534760.29
16,1.07,0.1,0.1,1004389.06,161681520.0,3607199.99,2571219963.69,0.0059,2572224352.75
17,1.07,0.1,0.1,1010729.15,161681520.0,3595572.38,2569726212.33,0.0053,2570736941.48
18,1.06,0.11,0.1,1017816.02,161681520.0,3585820.62,2568548560.17,0.0043,2569566376.19
19,1.06,0.11,0.1,1019872.23,161681520.0,3583787.26,2568245742.66,0.0019,2569265614.89
20,1.06,0.11,0.1,1024089.12,161681520.0,3579068.32,2567829041.94,0.0027,2568853131.06
21,1.06,0.11,0.1,1030678.39,161681520.0,3575541.64,2567454355.09,0.002,2568485033.48
22,1.06,0.11,0.1,1035523.71,161681520.0,3571167.73,2567137379.79,0.0027,2568172903.5
23,1.06,0.11,0.1,1041514.5,161681520.0,3564114.21,2566602851.08,0.0019,2567644365.58
24,1.06,0.11,0.1,1041514.5,161681520.0,3564114.21,2566602851.08,0.001,2567644365.58
