,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1.265,1.25186,1.2539229799999998,1.25520791432,1.25605003368848,1.2568555306565168,1.2573767766944999,1.2577579378597747,1.2582286718988893,1.2585536956477426,1.2590500610828665,1.2592880586395518,1.2596136392970974,1.259850639168025,1.260066912322968,1.2603332990575278,1.2605479673008815,1.260748308772342,1.26089711796531,1.2611555995334955,1.2613170643530887,1.2614496500363774,1.261549059835359,1.2616215295788165,1.261797210040718,1.2619125104792521,1.2619958726963123,1.2620890006427266,1.262187974620874,1.2622892075345227,1.2623488449687632,1.2624522400149816,1.262518481774592,1.2625656306208746,1.2626118836390778,1.2626620340826573,1.2627274971283429,1.2627502221570597,1.262772719935489,1.2628128109766503,1.2628434316229773,1.2628779367170095,1.2629076456029713,1.2629264767925448,1.2629638002102788,1.2630024880062836,1.2630384432221704,1.2630541356763931,1.2630658108623347,1.2630774159971607,1.2630831837491692,1.2630889341979217,1.2630965784611299,1.2631003853042075,1.2631041845335993,1.2631079761645319,1.2631136522360384,1.2631174249315664,1.263119307506635,1.263119307506635
1,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49
2,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387
3,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229
4,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51
5,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422
6,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737
7,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22
8,0.679,0.8542000000000002,0.9208936000000002,0.8928339424000001,0.8744442233536002,0.8568542432517761,0.8454715716836624,0.8371479930994793,0.8268683735480132,0.8197706916177087,0.8089313483631451,0.8037340944286192,0.7966242510461878,0.7914487840001556,0.786725935072149,0.7809087345782529,0.7762209327876533,0.771845990812209,0.7685963811337816,0.7629518091223533,0.7594258331392144,0.7565305031462027,0.7543596490581089,0.7527770964278886,0.7489406874136384,0.7464228226667475,0.7446024064547453,0.7425687318546481,0.74040739497159,0.7381967287526128,0.7368944007200553,0.7346365190919731,0.7331899695955818,0.7321603601732658,0.7311503133299737,0.7300551567500443,0.7286256123610431,0.7281293562374326,0.7276380626750583,0.7267625775469072,0.7260939014612505,0.7253403990378705,0.7246916334513402,0.7242804087502782,0.7234653613927732,0.7226205195263105,0.7218353501748369,0.7214926673734382,0.7212377113691976,0.7209842851009823,0.7208583322456794,0.7207327572489425,0.7205658262199467,0.7204826945675068,0.7203997291783718,0.720316929720015,0.720192978930855,0.7201105929729933,0.7200694823800203,0.7200694823800203
9,4.35,4.35,5.370500000000001,6.006122000000001,5.863695508000001,6.312462912280001,6.18686528589408,6.095022021599377,5.981595590195417,5.9032790018660375,5.783676518722352,5.986329457973458,5.893058678868971,5.825164096998735,5.763207204924789,6.03789401585885,5.960250891129343,5.887789601028523,5.833966964992524,5.740477046197995,5.682077010257679,5.634122237888402,5.598166815227527,5.5719553121077485,5.508413635878146,5.466710744986533,5.436559554871896,5.402876208670866,5.3670784175760575,5.330463594543319,5.3088933954633655,5.271496553040294,5.247537642661246,5.230484427450683,5.21375522332912,5.195616363639209,5.1719391054573105,5.163719714402737,5.15558251725871,5.141082031948054,5.130006883500781,5.117526773364768,5.106781398537661,5.099970365950822,5.086470899363707,5.072477952275797,5.059473349134833,5.053797562341754,5.049574776967703,5.045377328305897,5.04329119632098,5.041211322732017,5.038446477441089,5.037069584486207,5.035695445317234,5.034324054426599,5.0322710822633185,5.030906540098792,5.030225633558693,5.030225633558693
10,8.093,12.502200000000004,10.695255600000003,9.6393939504,10.022404070665601,9.263757704305696,9.508829211230132,9.438037750668627,9.831610296875168,9.74815700262516,10.005709913423022,9.669201516886101,9.864358030423595,9.786418277084957,10.026094709447388,9.57070759513723,9.732733045760916,9.658945058701676,9.604136981647118,9.97513535180335,9.89608566702761,9.831174583014615,9.782505694690206,9.852026075101712,9.760556719196424,9.966924677305354,9.916328711018108,9.859805520976547,9.799734133263344,9.918291704465865,9.878135286967616,9.808515010775878,9.763911620495705,9.732164299706286,9.796020178011867,9.865256754273618,9.815633565153956,9.798407229502416,9.781353157207391,9.840962800377659,9.816491321172371,9.788915460033614,9.765172643593143,9.795123089800805,9.85448487418439,9.821016661574888,9.78991236166654,9.776337062773207,9.79623704039657,9.81601761815419,9.810848565299727,9.805695019603828,9.798844239525414,9.805432551046362,9.802007685944268,9.798589670572381,9.808472901560664,9.805041955757542,9.803329913801784,9.803329913801784
