,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,22.1,22.1,20.3,20.3,18.9,17.8,20.3,18.9,20.3,22.1,22.1,22.1,22.1,22.1,36.3,36.3,31.3,31.3,31.3,31.3
1,20.3,20.3,18.9,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
2,15.8,15.4,15.4,50.9,50.9,42.7,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3
3,15.1,15.1,14.8,20.3,18.9,17.8,42.7,36.3,36.3,42.7,50.9,61.6,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9
4,14.8,18.9,17.8,17.8,17.0,17.0,18.9,18.9,18.9,18.9,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9
5,14.5,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,42.7,42.7,36.3,36.3,36.3
6,14.5,20.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,24.5,24.5,24.5,24.5,24.5
7,14.8,14.8,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,27.5,24.5,31.3,27.5,27.5
8,14.8,14.6,18.9,20.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
9,15.8,15.4,15.4,15.8,36.3,36.3,36.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
10,17.0,16.3,15.8,15.8,22.1,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5
11,17.8,17.0,17.0,16.3,16.3,22.1,31.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5
12,17.8,17.8,17.0,17.0,17.0,17.0,20.3,22.1,22.1,27.5,27.5,24.5,36.3,36.3,36.3,36.3,36.3,42.7,50.9,50.9
13,24.5,22.1,22.1,20.3,20.3,18.9,18.9,18.9,18.9,20.3,20.3,18.9,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3
14,75.2,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3
15,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1
16,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5
17,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3
18,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,27.5,24.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3
19,27.5,24.5,22.1,22.1,22.1,20.3,20.3,18.9,18.9,20.3,20.3,22.1,22.1,22.1,22.1,22.1,24.5,24.5,24.5,24.5
20,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
21,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,22.1,24.5,24.5,24.5,24.5,31.3,31.3,31.3,31.3,27.5,27.5,27.5
22,24.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9,20.3,20.3,20.3,20.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5
23,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,20.3,24.5,24.5,22.1,24.5,22.1,22.1,22.1,22.1,22.1,22.1
24,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
25,27.5,24.5,22.1,22.1,22.1,20.3,20.3,18.9,20.3,18.9,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1
26,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
