,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,31.3,27.5,24.5,24.5,24.5,22.1,24.5,24.5,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3
1,17.8,17.8,17.8,17.0,36.3,31.3,31.3,27.5,27.5,27.5,31.3,31.3,31.3,36.3,31.3,31.3,31.3,31.3
2,17.0,16.3,17.0,36.3,36.3,36.3,31.3,31.3,27.5,27.5,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3
3,17.8,17.0,17.0,92.8,75.2,75.2,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3
4,17.8,17.8,17.8,20.3,18.9,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3
5,17.0,17.0,17.0,22.1,22.1,31.3,27.5,24.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3
6,14.8,92.8,92.8,75.2,61.6,61.6,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3
7,15.1,22.1,22.1,20.3,20.3,20.3,24.5,27.5,24.5,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3
8,15.8,17.0,24.5,22.1,22.1,20.3,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
9,15.4,15.4,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3
10,18.9,17.8,18.9,17.8,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3
11,24.5,22.1,22.1,20.3,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,36.3,31.3,31.3,36.3,36.3
12,36.3,31.3,31.3,27.5,27.5,27.5,24.5,36.3,36.3,36.3,36.3,31.3,31.3,42.7,42.7,36.3,36.3,36.3
13,42.7,36.3,36.3,31.3,31.3,27.5,24.5,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3
14,92.8,75.2,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3
15,144.6,115.5,115.5,92.8,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7
16,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,36.3,36.3,36.3,36.3,31.3,36.3,36.3
17,61.6,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3
18,230.4,182.1,144.6,115.5,115.5,115.5,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9
19,61.6,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,42.7,36.3,36.3,36.3,36.3,36.3
20,75.2,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3,36.3,36.3,31.3,36.3,36.3,36.3
21,75.2,61.6,61.6,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,36.3,31.3,36.3,36.3,36.3
22,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3,31.3,42.7,42.7,42.7,42.7
23,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,42.7,42.7,36.3,36.3,36.3,36.3,36.3
24,50.9,36.3,36.3,31.3,31.3,31.3,27.5,24.5,50.9,50.9,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3
25,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3
26,50.9,50.9,42.7,36.3,31.3,31.3,31.3,27.5,31.3,27.5,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3
27,50.9,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3
28,36.3,31.3,31.3,27.5,27.5,24.5,24.5,42.7,42.7,42.7,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3
29,36.3,36.3,31.3,31.3,27.5,24.5,24.5,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3
30,61.6,50.9,42.7,36.3,36.3,36.3,31.3,31.3,27.5,36.3,36.3,36.3,31.3,36.3,31.3,42.7,36.3,36.3
31,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,24.5,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3
