,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,14.0,14.1,14.0,14.0,14.0,14.2,14.2,14.2,14.4,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.6,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6,14.6,14.6,14.6,14.6
1,14.0,14.0,14.0,14.0,14.5,14.3,14.3,14.3,14.6,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
2,14.0,14.0,14.0,14.0,14.5,14.5,14.4,14.3,14.4,14.3,14.5,14.4,14.5,14.5,14.5,14.4,14.8,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
3,14.3,14.1,14.0,14.2,14.1,14.1,15.1,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
4,14.0,14.0,14.0,14.8,14.6,14.5,14.5,14.5,14.4,14.3,14.4,14.3,15.4,15.4,15.4,15.4,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
5,14.0,14.0,14.0,18.9,17.8,17.0,16.3,15.8,15.4,15.4,15.1,15.1,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
6,14.1,14.0,16.3,15.8,15.4,14.8,14.8,14.6,14.6,14.5,14.5,14.4,14.4,14.4,14.4,14.4,14.4,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
7,14.3,14.0,24.5,22.1,20.3,17.8,17.8,17.0,16.3,15.8,15.8,15.8,15.4,15.4,15.4,15.1,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
8,17.0,15.4,14.8,14.5,14.5,14.3,14.3,14.3,14.3,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
9,14.0,14.3,14.2,14.1,14.1,14.2,14.2,14.4,14.3,14.4,14.3,15.4,15.4,15.1,15.1,15.1,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
