,0,1,2,3,4,5,6,7,8,9,10
0,14.8,14.8,14.8,14.8,14.8,15.4,15.4,24.5,27.5,27.5,27.5
1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.3,14.3,14.3
2,16.3,15.4,15.4,15.1,14.8,14.6,14.5,14.4,14.3,14.4,14.4
3,17.0,15.8,15.8,15.4,14.8,14.8,14.6,14.5,14.4,14.3,14.3
4,17.8,17.0,16.3,15.8,15.4,15.4,14.8,14.6,14.5,14.5,14.5
5,15.8,15.8,15.8,42.7,36.3,31.3,24.5,20.3,20.3,18.9,18.9
6,14.0,14.0,14.0,15.4,15.1,15.1,17.0,15.8,15.4,15.4,15.4
7,14.2,14.1,14.1,14.4,14.3,14.3,24.5,22.1,20.3,20.3,20.3
8,14.5,14.3,14.3,14.2,14.2,14.1,14.5,14.4,14.3,14.3,14.3
9,31.3,92.8,92.8,75.2,61.6,75.2,50.9,36.3,31.3,31.3,31.3
10,14.0,14.0,14.3,14.5,14.5,22.1,27.5,42.7,36.3,36.3,36.3
11,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.1,14.1
12,230.4,115.5,115.5,92.8,61.6,50.9,42.7,31.3,24.5,24.5,24.5
13,230.4,115.5,115.5,92.8,115.5,92.8,61.6,50.9,36.3,36.3,36.3
14,14.6,14.4,14.4,14.3,16.3,16.3,15.4,17.8,17.0,17.0,17.0
15,14.3,14.1,14.1,14.0,14.3,14.4,14.3,15.4,15.1,15.1,15.1
16,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.5,14.4,14.4,14.4
17,15.8,15.4,15.4,14.8,14.6,14.6,14.5,14.4,14.3,14.3,14.3
18,31.3,24.5,22.1,20.3,18.9,17.8,17.0,15.8,18.9,18.9,18.9
19,14.8,14.5,14.5,14.4,14.3,14.2,14.2,14.0,14.1,14.1,14.1
20,75.2,42.7,42.7,36.3,31.3,24.5,22.1,20.3,17.8,17.8,17.8
21,14.6,15.4,15.4,15.8,20.3,20.3,17.8,17.0,16.3,16.3,16.3
22,14.0,14.0,14.0,14.0,14.5,14.5,14.5,14.4,14.6,14.5,14.5
23,14.6,14.4,14.4,14.3,14.3,14.2,14.3,14.2,14.4,14.4,14.4
24,15.8,15.1,15.1,14.8,14.6,14.5,14.6,14.5,14.6,14.6,14.6
25,15.1,14.6,14.6,14.5,14.4,14.3,14.2,14.2,14.1,14.1,14.1
26,27.5,22.1,22.1,22.1,22.1,24.5,31.3,24.5,24.5,27.5,27.5
27,14.2,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.0
28,22.1,18.9,18.9,17.8,17.0,16.3,15.4,15.1,14.8,14.8,14.8
29,17.8,15.8,15.8,15.4,15.1,14.8,14.6,14.5,14.5,14.5,14.5
30,14.2,15.4,15.4,15.1,14.8,14.6,14.5,14.4,14.3,14.3,14.3
31,14.0,15.4,15.4,14.8,14.8,14.6,14.5,14.4,14.3,14.3,14.3
32,14.0,31.3,31.3,27.5,24.5,22.1,20.3,17.8,17.8,17.8,17.8
33,14.0,14.5,14.5,14.3,14.3,14.2,14.1,14.0,14.0,14.0,14.0
34,92.8,50.9,42.7,36.3,31.3,27.5,22.1,20.3,17.8,17.8,17.8
35,17.0,15.8,15.8,15.4,15.1,14.8,14.6,14.5,14.4,14.5,14.5
36,15.8,15.1,15.1,14.8,14.6,14.5,14.4,14.3,14.2,14.2,14.2
37,15.1,14.6,14.6,14.8,14.8,15.1,17.0,15.8,15.4,15.4,15.4
38,14.2,14.0,14.0,14.1,14.0,14.0,14.3,14.2,14.2,14.2,14.2
39,17.8,15.8,15.8,15.4,15.1,14.8,14.8,17.8,17.0,17.0,17.0
40,14.5,14.3,14.3,14.2,14.2,14.1,14.0,14.2,14.1,14.1,14.1
41,17.8,15.8,15.8,15.4,15.1,14.8,14.8,15.1,15.4,15.4,15.4
42,14.6,14.4,14.4,14.3,14.2,14.2,14.2,14.3,15.1,15.1,15.1
43,15.4,14.6,14.6,14.6,14.5,14.4,14.3,14.2,14.3,14.3,14.3
44,22.1,17.8,17.8,20.3,17.8,17.8,17.8,17.8,27.5,27.5,27.5
45,14.2,14.0,14.0,14.1,14.1,14.0,14.0,14.0,14.4,14.4,14.4
46,14.6,14.5,14.5,14.5,15.1,15.4,15.1,14.8,14.8,15.1,15.1
47,14.2,14.0,14.0,14.0,14.0,14.2,14.0,14.0,14.0,14.0,14.0
