,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,14.6,14.5,14.4,14.4,22.1,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,17.0,17.0,16.3,16.3,16.3
1,15.4,14.8,14.8,14.6,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2,17.0,15.8,15.8,15.4,15.8,17.0,17.0,16.3,16.3,15.8,15.8,15.8,15.8,15.4,16.3,16.3,16.3,16.3,15.8,16.3,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
3,15.4,14.8,14.6,14.6,14.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
4,14.0,24.5,22.1,22.1,20.3,18.9,17.8,17.0,17.0,17.0,16.3,16.3,16.3,15.8,15.8,16.3,16.3,16.3,16.3,16.3,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0
5,14.0,36.3,31.3,27.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0
6,15.1,15.4,15.4,15.1,14.8,15.8,15.8,15.4,15.4,15.4,15.4,15.8,15.8,16.3,16.3,15.8,15.8,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
7,14.0,14.3,14.3,14.6,15.4,17.0,16.3,15.8,16.3,15.8,16.3,16.3,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0
8,15.8,15.1,14.8,15.1,15.8,15.8,15.4,15.4,15.8,15.4,15.8,15.8,15.8,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
9,20.3,17.8,17.0,17.0,16.3,15.8,15.4,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,17.0,16.3,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
10,17.0,15.8,15.4,15.4,15.1,14.8,14.8,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0
11,14.6,14.4,14.3,24.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.0
