,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1424.85,1405.0312858561158,1386.8751482778384,1381.3360832096232,1360.7607237418456,1352.621960058526,1337.8330619510932,1335.9835884723177,1333.550690508018,1329.945675422565,1340.1628454114548,1351.3264266835295,1352.9730257061744,1352.9730257061744
1,1344.015,1325.3207187611167,1308.1948693945933,1302.970321273148,1283.5816492597387,1275.900937556708,1261.9404025933156,1258.885726099499,1254.8403483210195,1248.7975947485297,1247.7405267373597,1255.6459224934654,1255.859890615147,1255.859890615147
2,1285.95,1268.0648542256106,1251.6862213329698,1246.6965671690702,1384.4065320449386,1376.1223035981932,1361.0656830028229,1356.9971502003286,1351.5952751677964,1343.5326735485105,1341.4900055583148,1350.912456773769,1355.7232563950226,1355.7232563950226
3,1202.313,1185.59209572752,1170.2728803510342,1165.6010024891903,1286.7515510123228,1279.0510594062546,1265.05445879161,1261.2667666337838,1256.2356924704814,1248.7266608071036,1246.3201479426912,1247.272066461152,1247.3601391303548,1247.3601391303548
4,1123.645,1488.9812487184722,1469.7402211588883,1463.8700768320923,1442.065082866041,1433.434851132267,1417.7458895455393,1413.4969636368455,1407.8521939962495,1399.4272836929647,1395.2333036193445,1388.2716144100052,1384.111490465523,1384.111490465523
5,897.98,1319.803715804822,1329.884109938828,1324.5725474855258,1304.842483200651,1297.0334357079491,1282.8374976356413,1278.992916288418,1273.8849809144374,1266.2613044669042,1262.4665608282364,1256.1676983530683,1252.4036997671826,1252.4036997671826
6,1002.806,1065.6520906541675,1439.107064660894,1433.359269283653,1412.0087327414433,1403.5578382420026,1388.1956775230913,1384.035262680362,1378.5074402764797,1370.2570756220452,1366.1504347751559,1359.333335440963,1355.2594330543202,1355.2594330543202
7,1007.537,1001.8877956733224,1372.7944988334198,1477.490254269796,1456.5717010021808,1447.8568553413213,1432.0174305297996,1427.7279775522534,1422.1174444583587,1428.9785909038176,1467.807023799641,1460.5850670452858,1456.240656152765,1456.240656152765
8,1084.039,1069.2224822534386,1093.3907031354295,1212.615102618641,1253.6310881685984,1246.1290925204617,1232.492226270601,1228.7993299512707,1223.9605288845914,1239.569080783843,1288.7385682579638,1282.4868912802337,1278.696149876222,1278.696149876222
9,1195.578,1178.9491478918603,1164.0738511077311,1181.4311380654055,1345.0431264686088,1336.9930284460393,1322.3594414767679,1318.3963708663166,1313.132655538777,1308.3128791113195,1308.788683352383,1302.305324626273,1298.4175030671308,1298.4175030671308
10,1211.429,1194.5800600410957,1179.1471807043813,1176.7847106412225,1478.385357777325,1469.5416686604365,1453.465173625406,1464.7497510003404,1458.8995506133267,1450.1680196168295,1445.8219035728828,1438.6074573835026,1434.296087257163,1434.296087257163
