no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
5000,5,OGSA,0,piece-wise,2,2.668,23.2,2469556.4,18978288.4,-6.705,1.226,9.42,-6.7006,1659203480,1.02E+11,-59.8148,1659203480,1.02E+11,-59.8148
5000,5,OGSA,1,piece-wise,2,3.0842,24,2469556.4,14057295.6,-4.6898,1.226,6.962,-4.6864,1659203480,75568743291,-44.6352,1659203480,75566711458,-44.6342
5000,5,OGSA,5,piece-wise,2,2.942,24.6,2469556.4,13738652.4,-4.5236,1.226,6.816,-4.522,1659203480,71710415090,-42.4234,1659203480,71703972241,-42.4194
5000,5,OGSA,10,piece-wise,2,2.8738,24,2469556.4,18632101.4,-6.5852,1.226,9.25,-6.5846,1659203480,83129771432,-49.0734,1659203480,83113537578,-49.0636
5000,5,OGSA,50,piece-wise,2,2.5318,20.4,2469556.4,10658225,-3.32,1.226,5.274,-3.3206,1659203480,48715326710,-28.1946,1659203480,48701190570,-28.186
5000,5,OGSA,100,piece-wise,2,2.2718,18.6,2469556.4,12238721.2,-3.9574,1.226,6.074,-3.9612,1659203480,63461925256,-37.0896,1659203480,63427908156,-37.0692
5000,5,OGSA,500,piece-wise,2,2.2208,12.6,2469556.4,9181675,-2.7232,1.226,4.56,-2.724,1659203480,60416475142,-35.354,1659203480,60291507742,-35.279
5000,5,OGSA,1000,piece-wise,2,2.4422,11.4,2469556.4,6227590.8,-1.5256,1.226,3.094,-1.5264,1659203480,41065100297,-23.6464,1659203480,40886818297,-23.539
5000,5,OGSA,5000,piece-wise,2,2.0338,6.6,2469556.4,3804108.4,-0.541,1.226,1.89,-0.5422,1659203480,15501725791,-8.3122,1659203480,15171543791,-8.1136
5000,5,OGSA,10000,piece-wise,2,2.0756,4,2469556.4,4016389.6,-0.6266,1.226,1.994,-0.6258,1659203480,13777836825,-7.2734,1659203480,13288668825,-6.9794
5000,5,FW-DDSM-OGSA,0,piece-wise,2,0.0096,23.2,2469556.4,2092868.644,0.152,1.226,1.038,0.153,1659203480,1485766673,0.1044,1659203480,1485766673,0.1044
5000,5,FW-DDSM-OGSA,1,piece-wise,2,0.0078,24,2469556.4,2087652.893,0.1544,1.226,1.038,0.1532,1659203480,1485477380,0.1046,1659203480,1485476031,0.1046
5000,5,FW-DDSM-OGSA,5,piece-wise,2,0.0078,24.6,2469556.4,2083043.911,0.1564,1.226,1.032,0.158,1659203480,1485404540,0.1046,1659203480,1485401288,0.1046
5000,5,FW-DDSM-OGSA,10,piece-wise,2,0.008,24,2469556.4,2088392.058,0.1542,1.226,1.038,0.1534,1659203480,1485464646,0.1046,1659203480,1485459337,0.1046
5000,5,FW-DDSM-OGSA,50,piece-wise,2,0.0088,20.4,2469556.4,2090318.277,0.1532,1.226,1.038,0.1532,1659203480,1485570506,0.1044,1659203480,1485548249,0.1044
5000,5,FW-DDSM-OGSA,100,piece-wise,2,0.0096,18.6,2469556.4,2100392.462,0.1492,1.226,1.044,0.1482,1659203480,1485807161,0.1044,1659203480,1485769808,0.1044
5000,5,FW-DDSM-OGSA,500,piece-wise,2,0.0122,12.6,2469556.4,2127130.564,0.1384,1.226,1.056,0.1384,1659203480,1490793378,0.101,1659203480,1490574159,0.1016
5000,5,FW-DDSM-OGSA,1000,piece-wise,2,0.0128,11.4,2469556.4,2146233.303,0.1306,1.226,1.064,0.132,1659203480,1502815333,0.0938,1659203480,1502523082,0.0942
5000,5,FW-DDSM-OGSA,5000,piece-wise,2,0.0122,6.6,2469556.4,2256927.109,0.0862,1.226,1.118,0.088,1659203480,1554547606,0.0628,1659203480,1553718723,0.063
5000,5,FW-DDSM-OGSA,10000,piece-wise,2,0.0116,4,2469556.4,2331395.073,0.0558,1.226,1.158,0.0556,1659203480,1590840856,0.041,1659203480,1584423344,0.0446
5000,5,CP model with data preprocessing,0,piece-wise,2,955.503,21.8,2469556.4,28198766.4,-10.421,1.226,13.988,-10.4202,1659203480,1.81E+11,-108.3228,1659203480,1.81E+11,-108.3228
5000,5,CP model with data preprocessing,1,piece-wise,2,1062.318,28.6,2469556.4,6568039.2,-1.6574,1.226,3.262,-1.6576,1659203480,37356274149,-21.4992,1659203480,37356015851,-21.499
5000,5,CP model with data preprocessing,5,piece-wise,2,921.31,24.6,2469556.4,12165279.2,-3.9436,1.226,6.042,-3.9362,1659203480,71560668487,-42.2586,1659203480,71556580017,-42.2564
5000,5,CP model with data preprocessing,10,piece-wise,2,928.0582,24.6,2469556.4,29535830.6,-11.1296,1.226,14.668,-11.1298,1659203480,1.02E+11,-59.878,1659203480,1.02E+11,-59.8692
5000,5,CP model with data preprocessing,50,piece-wise,2,779.0108,21.4,2469556.4,11982752.8,-3.8696,1.226,5.954,-3.8658,1659203480,50074608808,-29.3322,1659203480,50060242738,-29.3232
5000,5,CP model with data preprocessing,100,piece-wise,2,761.341,22.2,2469556.4,14632510.8,-4.9286,1.226,7.25,-4.9242,1659203480,59544464611,-34.9644,1659203480,59519477531,-34.9494
5000,5,CP model with data preprocessing,500,piece-wise,2,773.0024,13.6,2469556.4,9090691.8,-2.69,1.226,4.516,-2.6916,1659203480,59193366245,-34.7302,1659203480,59112612545,-34.6812
5000,5,CP model with data preprocessing,1000,piece-wise,2,782.137,13,2469556.4,6604401.4,-1.6812,1.226,3.282,-1.6832,1659203480,42628252899,-24.599,1659203480,42514865699,-24.5312
5000,5,CP model with data preprocessing,5000,piece-wise,2,803.7062,13.2,2469556.4,3010899.4,-0.2208,1.226,1.494,-0.2202,1659203480,5316281061,-2.1612,1659203480,5210874061,-2.0976
5000,5,CP model with data preprocessing,10000,piece-wise,2,807.8592,11.4,2469556.4,2595469.8,-0.0524,1.226,1.29,-0.0532,1659203480,2434116768,-0.454,1659203480,2346508768,-0.4014
5000,5,FW-DDSM-CP,0,piece-wise,2,0.007,21.8,2469556.4,2159211.493,0.1252,1.226,1.074,0.1238,1659203480,1487812257,0.1032,1659203480,1487812257,0.1032
5000,5,FW-DDSM-CP,1,piece-wise,2,0.0072,28.6,2469556.4,2069070.785,0.1618,1.226,1.03,0.1598,1659203480,1485237529,0.1046,1659203480,1485237179,0.1046
5000,5,FW-DDSM-CP,5,piece-wise,2,0.0074,24.6,2469556.4,2083686.217,0.1558,1.226,1.036,0.1548,1659203480,1485469880,0.1046,1659203480,1485466747,0.1046
5000,5,FW-DDSM-CP,10,piece-wise,2,0.0072,24.6,2469556.4,2091522.818,0.1524,1.226,1.036,0.1544,1659203480,1486314195,0.1042,1659203480,1486295761,0.1042
5000,5,FW-DDSM-CP,50,piece-wise,2,0.0084,21.4,2469556.4,2086325.005,0.1548,1.226,1.036,0.155,1659203480,1485494207,0.1046,1659203480,1485471797,0.1046
5000,5,FW-DDSM-CP,100,piece-wise,2,0.008,22.2,2469556.4,2088300.063,0.1544,1.226,1.036,0.155,1659203480,1485469181,0.1044,1659203480,1485458230,0.1044
5000,5,FW-DDSM-CP,500,piece-wise,2,0.0118,13.6,2469556.4,2119620.079,0.1412,1.226,1.05,0.1432,1659203480,1488077047,0.103,1659203480,1487982295,0.103
5000,5,FW-DDSM-CP,1000,piece-wise,2,0.0128,13,2469556.4,2109171.676,0.1456,1.226,1.044,0.1482,1659203480,1493310729,0.0998,1659203480,1493158050,0.1
5000,5,FW-DDSM-CP,5000,piece-wise,2,0.0112,13.2,2469556.4,2172617.475,0.1202,1.226,1.078,0.1206,1659203480,1526491337,0.0798,1659203480,1526388645,0.0798
5000,5,FW-DDSM-CP,10000,piece-wise,2,0.0108,11.4,2469556.4,2218828.926,0.1014,1.226,1.102,0.101,1659203480,1547709668,0.0672,1659203480,1547605686,0.0672
