no_dependent_tasks,algorithm,PAR,demand_reduction,cost_reduction
0,minizinc_fw,1.1400000000000001,0.08199999999999999,0.08399999999999999
0,ogsa_fw,1.084,0.142,0.098
3,minizinc_fw,1.136,0.092,0.082
3,ogsa_fw,1.0630000000000002,0.152,0.10300000000000001
6,minizinc_fw,1.1440000000000001,0.07900000000000001,0.088
6,ogsa_fw,1.053,0.162,0.10400000000000001
