,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,4.93,0.0,0.0,0.0,37994.0,3900.0,617503.6,0.0,1.0,617508.53
1,3.02,0.39,0.14,1296.45,37994.0,2390.7,532099.7,0.0156,0.387,533399.1699999999
2,2.92,0.41,0.14,907.83,37994.0,2314.01,532005.51,0.0033,0.39,532916.26
3,2.97,0.4,0.14,464.33,37994.0,2350.6,532035.45,0.0022,0.549,532502.7499999999
4,2.8,0.43,0.14,435.1,37994.0,2216.97,531992.2,0.0014,0.093,532430.1
5,2.66,0.46,0.14,385.38,37994.0,2104.19,531928.31,0.0017,0.368,532316.3500000001
6,2.64,0.46,0.14,377.29,37994.0,2088.39,531925.01,0.0011,0.021,532304.9400000001
7,2.68,0.46,0.14,328.49,37994.0,2123.83,531947.21,0.0014,0.176,532278.38
8,2.67,0.46,0.14,318.31,37994.0,2111.1,531946.47,0.0011,0.031,532267.4500000001
9,2.66,0.46,0.14,268.83,37994.0,2108.84,531954.48,0.0013,0.294,532225.97
10,2.65,0.46,0.14,263.99,37994.0,2100.27,531952.64,0.0012,0.018,532219.28
11,2.75,0.44,0.14,239.17,37994.0,2178.39,531965.57,0.001,0.116,532207.49
12,2.75,0.44,0.14,205.91,37994.0,2176.89,531966.08,0.0015,0.373,532174.74
13,2.73,0.45,0.14,203.44,37994.0,2162.99,531964.71,0.0008,0.012,532170.8799999999
14,2.69,0.45,0.14,194.85,37994.0,2131.98,531962.35,0.001,0.056,532159.8899999999
15,2.62,0.47,0.14,196.17,37994.0,2073.86,531937.41,0.0013,0.256,532136.2000000001
16,2.63,0.47,0.14,193.42,37994.0,2078.54,531937.1,0.0008,0.014,532133.15
17,2.65,0.46,0.14,191.1,37994.0,2100.84,531937.18,0.0008,0.012,532130.93
18,2.66,0.46,0.14,189.83,37994.0,2104.89,531937.72,0.0008,0.009,532130.21
19,2.66,0.46,0.14,189.83,37994.0,2104.89,531937.72,0.0005,0.0,532130.21
