,0,1,2,3,4,5,6,7,8,9,10
0,16.3,15.8,15.4,15.8,17.0,20.3,20.3,18.9,18.9,18.9,18.9
1,16.3,15.8,15.4,15.4,15.4,27.5,27.5,24.5,24.5,24.5,24.5
2,15.8,15.4,15.8,15.8,15.4,17.0,16.3,15.8,15.8,15.8,15.8
3,15.1,14.8,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1
4,14.5,14.6,31.3,31.3,27.5,50.9,50.9,50.9,61.6,61.6,61.6
5,14.5,14.8,15.1,15.1,14.8,15.8,15.8,15.8,16.3,16.3,16.3
6,14.5,61.6,50.9,50.9,42.7,36.3,42.7,50.9,42.7,42.7,42.7
7,14.2,17.0,15.8,15.8,15.8,15.8,16.3,20.3,20.3,20.3,20.3
8,14.8,17.8,17.0,17.0,16.3,15.8,15.8,17.0,17.0,17.0,17.0
9,14.3,20.3,22.1,22.1,36.3,36.3,42.7,36.3,36.3,36.3,36.3
10,14.3,14.6,14.8,14.8,17.0,16.3,31.3,27.5,36.3,31.3,31.3
11,17.0,16.3,15.8,15.8,15.8,15.4,18.9,17.8,24.5,24.5,24.5
12,20.3,18.9,17.8,17.8,17.0,17.0,17.0,16.3,17.8,17.8,17.8
13,31.3,24.5,22.1,22.1,22.1,20.3,20.3,18.9,20.3,20.3,20.3
14,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0
15,36.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
16,42.7,36.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,22.1
17,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0
18,61.6,42.7,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
19,27.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.8
20,36.3,31.3,27.5,24.5,24.5,22.1,22.1,24.5,24.5,24.5,24.5
21,20.3,17.8,17.0,17.0,17.0,16.3,15.8,17.0,16.3,17.0,17.0
22,24.5,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8
23,36.3,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
24,31.3,24.5,22.1,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.8
25,36.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3
26,36.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3
27,31.3,24.5,22.1,22.1,24.5,24.5,22.1,22.1,22.1,22.1,22.1
28,16.3,15.8,15.8,15.8,36.3,36.3,31.3,36.3,36.3,36.3,36.3
29,15.4,15.4,14.8,14.8,17.0,17.0,16.3,17.8,17.8,17.8,17.8
30,22.1,20.3,18.9,18.9,17.8,17.8,17.0,18.9,17.8,17.8,17.8
31,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0
32,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
33,42.7,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
34,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
35,230.4,182.1,144.6,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6
36,182.1,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9
37,115.5,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
38,61.6,50.9,42.7,42.7,36.3,31.3,31.3,27.5,27.5,27.5,27.5
39,61.6,50.9,36.3,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5
40,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8
41,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
42,115.5,92.8,61.6,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3
43,36.3,31.3,27.5,27.5,24.5,24.5,22.1,42.7,36.3,36.3,36.3
44,17.8,17.0,17.0,16.3,15.8,15.8,15.8,18.9,24.5,24.5,24.5
45,20.3,17.8,17.8,17.0,17.0,16.3,16.3,15.8,17.0,17.0,17.0
46,17.0,17.0,36.3,50.9,61.6,50.9,50.9,50.9,50.9,50.9,50.9
47,14.6,14.5,14.6,15.4,15.8,16.3,15.8,15.8,15.8,15.8,15.8
