,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_inconvenient,inconvenient,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,20,10,3,0,6,0,minizinc_fw,0,5000,0,5000,21,3.41,1.77,0.0,784.53,10050.0,5222.28,141333.0,0.48,0.11,0.0089,39.45227272727273
1,20,10,3,0,6,0,minizinc_fw,0,,,,14,3.41,1.79,0.0,806.79,10050.0,5262.05,141333.0,0.48,0.11,0.013659999999999999,31.894000000000002
