,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,5.48,0.0,0.0,0,54229,6190,889846.0,,889851.48
1,5.36,0.02,0.04,0,54229,6050,856920.0,,856925.36
2,5.49,-0.0,-0.01,0,54229,6205,896536.0,,896541.49
3,5.49,-0.0,0.02,0,54229,6205,874886.0,,874891.49
4,5.37,0.02,0.05,0,54229,6065,849050.0,,849055.37
5,5.45,0.01,0.05,0,54229,6155,848429.5,,848434.95
