,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3394.133,3350.3737484436406,3310.830323758526,3282.5269879709044,3281.898794044919,3239.504357082169,3213.816508623651,3188.909338478097,3206.7766663773887,3191.560055960958,3282.039161156447,3268.9369621962,3255.8998423317607,3244.045906690724,3244.045906690724
1,3088.286,3049.602040601256,3022.502840805838,3035.956300664665,3572.374418581869,3526.2232423134637,3498.1242305097303,3470.491169525097,3453.472026019785,3436.368179305243,3412.3997293217453,3398.770774880832,3385.1976404578454,3371.864278613816,3371.864278613816
2,2931.956,2908.5041843824647,2881.640504693077,2890.709320399077,3455.349439891814,3411.300156379952,3399.044051871364,3411.968571749216,3513.0073441670716,3613.36713504099,3588.3868020658706,3588.56459993844,3590.787224821691,3672.9805111998535,3672.9805111998535
3,2799.527,3071.1338077663668,3035.0227355084635,3009.4342674360823,3040.3995722714462,3001.417787229995,2983.5721185092134,2979.2521959809046,3062.5096684578602,3146.2051840878985,3124.4366933888373,3117.821933028408,3112.784559656218,3180.831961213471,3180.831961213471
4,2652.028,3717.540757853035,3673.2357584861074,3640.309954490601,3607.6779107307316,3561.054925202506,3532.6664904362583,3504.5133384226547,3487.0280423108384,3469.663874571986,3445.463736712464,3431.849140686408,3418.280046734439,3404.656802451497,3404.656802451497
5,2555.631,3148.0131357099317,3477.0079998544074,3445.839817476789,3414.9510293002086,3370.818693210344,3343.9464656108876,3317.2958709527784,3300.7431950716777,3284.273644610758,3261.354684699847,3248.361404131622,3235.4054965794057,3222.48674887116,3222.48674887116
6,2760.471,2774.8614378068014,3697.3163922421627,3664.2460277490586,3631.402215815052,3600.227992803549,3571.7601159610385,3544.2513402415425,3526.5655205690023,3508.9649563877065,3484.477770249079,3470.564881900413,3456.7050654309496,3442.8989915462753,3442.8989915462753
7,2802.437,2770.433823327409,3240.4574754567107,3220.3086309482874,3191.4907808848675,3347.8410927647233,3342.7561560104914,3496.2451131929406,3479.037252780726,3462.6575551307646,3537.7944698030506,3540.9999476981448,3586.0018048411866,3624.5293660964053,3624.5293660964053
8,2992.244,2954.0951136681056,2939.5494946303947,2987.9726107324627,2961.2073657398405,2993.805260830265,2983.8622953494355,3111.044750352887,3095.5998872325313,3080.5684470644424,3123.961829128571,3122.5579374053837,3162.566151299646,3213.809873025177,3213.809873025177
9,2980.731,2944.5934673729157,2950.6631580989524,3578.8282096134453,3546.7477863959957,3500.947523965687,3473.0377984126094,3445.350634529081,3428.158644737188,3411.0489155283794,3387.2431696279286,3373.7951537915974,3360.423671123145,3347.444173916946,3347.444173916946
10,2860.416,2825.7559885502633,2829.266224538584,3382.612656971121,3367.436797718268,3736.0498227095923,3706.302256861076,3678.772983862521,3696.6654033016025,3681.0954159297044,3655.4436768935134,3644.9828345320734,3630.424778484686,3615.9248553893576,3615.9248553893576
11,3012.678,2973.786792989834,2941.119483157307,2973.064300467938,2957.8685979291126,3307.1961715100156,3280.9071358490905,3257.913054825076,3328.392035561052,3397.9236354823433,3399.5064203450765,3560.776300155827,3546.562010166934,3532.4249334215665,3532.4249334215665
12,3306.005,3263.284196211532,3224.3403055679705,3195.4448384190214,3166.8418824785317,3126.969886598475,3102.097264330086,3078.896841558177,3112.827238661462,3165.660969475631,3178.0438086157833,3372.467414820978,3359.0805581885816,3345.8093952974127,3345.8093952974127
13,3560.787,3514.773584998302,3472.827553258654,3441.696916467623,3410.8453373158413,3366.766137749497,3339.9274051851676,3313.3547139393245,3301.754518971551,3285.8914391273934,3266.6087672383837,3280.993425192685,3267.9397483324606,3254.9685224001696,3254.9685224001696
14,3813.427,3764.148808387577,3719.2266302558164,3685.88717079532,3652.846586973914,3605.6399000975216,3576.8955690385264,3548.380461142909,3530.6741718460703,3513.0527170499595,3488.535536689398,3474.6049198898186,3460.7277373392376,3446.9062079694863,3446.9062079694863
15,3714.348,3666.350161336028,3622.59515759399,3590.1219735079017,3557.9399086598737,3511.959894826704,3483.9625534224297,3456.1884482500027,3438.9421830489277,3421.778558259837,3397.898355528735,3384.328382037805,3370.8116405262967,3357.349296316851,3357.349296316851
16,3755.15,3706.6248804072056,3662.3892054587996,3629.559268333625,3597.0236663388428,3550.538484843259,3522.2335449293355,3494.1542535795015,3476.7185685704244,3459.3671352548654,3435.2285716015253,3421.508977863794,3407.843672999807,3394.233350812499,3394.233350812499
17,3725.44,3677.2989824150554,3633.413503986442,3600.843432976752,3568.5653138512953,3522.4481529944183,3494.3672464417577,3466.510624965666,3449.266983628036,3432.119286137587,3436.987942680641,3423.271358939833,3409.599250765017,3395.9815373627143,3395.9815373627143
