,0,1,2,3,4
0,12.38,12.226759554843799,12.198781962332363,12.194607541123384,12.194607541123384
1,6.0,6.0,6.0,6.0,6.0
2,0.0,1.6130573174337246,1.414038315320071,1.3843435106983495,1.3843435106983495
3,1.035,6.237109848723766,5.598974966726621,5.503131492425361,5.503131492425361
4,12.03,15.256114634867451,13.37381530306607,13.345595181701682,13.345595181701682
5,20.0,11.934713412831382,12.929808423399647,13.078282446508254,13.078282446508254
6,16.9,10.084832833842508,11.91272806960915,12.017460780147358,12.017460780147358
7,7.2,12.039171952301174,11.935634921878442,11.836186588518995,11.836186588518995
8,4.84,4.84,4.84,4.84,4.84
9,1.45,1.45,1.45,1.45,1.45
10,0.3,4.816560488814429,4.345673278681888,4.260714139829568,4.260714139829568
11,7.48,9.956042982260763,11.40254472852601,11.404171289226964,11.404171289226964
12,14.04,8.438658465211395,12.12171680405531,12.148350751170149,12.148350751170149
13,26.93,16.070091610377435,14.087363804238137,13.793629164349136,13.793629164349136
14,17.557,10.476888169454021,10.122061104420904,10.542374821228064,10.542374821228064
15,3.258,15.33616992861438,13.446707735020023,13.446944872584604,13.446944872584604
16,6.262,10.425300936296445,10.000960007482306,9.937141847325176,9.937141847325176
17,10.915,11.222287418971128,11.207322977948671,11.201184195411749,11.201184195411749
18,4.259,4.259,4.266649559626732,4.26648891887457,4.26648891887457
19,3.61,3.61,3.61,3.61,3.61
20,9.9,9.9,9.9,9.9,9.9
21,0.055,0.055,0.055,0.055,0.055
22,3.622,3.622,3.622,3.622,3.622
23,10.16,10.16,10.16,10.16,10.16
24,5.635,5.635,5.659675998795912,5.6591578028211975,5.6591578028211975
25,5.111,5.191652865871686,6.403163856163618,6.376028415184183,6.376028415184183
26,4.8,8.308399665418351,10.13338722564705,10.021386093908461,10.021386093908461
27,7.4,14.844259519956637,13.012774869753404,12.894906597488584,12.894906597488584
28,17.04,10.168375827732334,9.71330404031238,9.86716465546582,9.86716465546582
29,25.288,15.090251639184,13.228416482791479,13.481667736652858,13.481667736652858
30,13.244,14.139246811175713,12.394746624737385,12.412580945617899,12.412580945617899
31,4.693,10.801648061121519,11.941105727739437,11.788895507456909,11.788895507456909
32,8.561,11.97745539832463,13.128781315099305,13.032857907482219,13.032857907482219
33,15.629,9.327591589445149,10.105059321202136,10.221062075456892,10.221062075456892
34,4.352,4.998835984290927,4.919029364443352,4.9071217477900415,4.9071217477900415
35,0.0,1.2702826374790583,1.1135551733145561,1.0901705146749505,1.0901705146749505
36,0.16,0.16,0.16,0.16,0.16
37,0.24,0.24,0.24,0.24,0.24
38,6.0,6.0,6.0,6.0,6.0
39,13.35,13.35,13.35,13.35,13.35
40,13.474,13.474,13.474,13.474,13.474
41,6.323,6.323,6.323,6.323,6.323
42,3.064,3.064,3.064,3.064,3.064
43,4.748,4.748,4.748,4.748,4.748
44,1.305,1.305,1.305,1.305,1.305
45,1.41,1.41,1.41,1.41,1.41
46,0.33,0.4550119421011137,0.4778357675709682,0.4812412164519778,0.4812412164519778
47,0.39,0.41822850305509013,0.4233822700966701,0.4241512424246401,0.4241512424246401
