,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.17,0.0,0.0,0.0,160628499.0,3931145.0,3089999580.3,0.0
1,1.15,0.02,0.05,268658.8,160628499.0,3857121.68,2928784003.62,0.0139
2,1.14,0.03,0.08,421321.16,160628499.0,3814904.84,2851299640.74,0.0086
3,1.13,0.04,0.09,519078.71,160628499.0,3784492.21,2803045321.71,0.0064
4,1.12,0.04,0.11,626145.67,160628499.0,3758080.11,2765074939.99,0.0057
5,1.11,0.06,0.12,807440.33,160628499.0,3705807.61,2708946892.53,0.0107
6,1.1,0.06,0.13,870800.14,160628499.0,3683628.27,2688869457.06,0.0051
7,1.1,0.07,0.13,916750.97,160628499.0,3665246.93,2674056860.89,0.0044
8,1.09,0.08,0.14,994765.26,160628499.0,3636027.38,2655799377.49,0.0066
9,1.08,0.08,0.14,1047206.7,160628499.0,3614265.68,2643812720.23,0.005
10,1.08,0.08,0.15,1083077.07,160628499.0,3599830.29,2635658442.51,0.0037
11,1.07,0.09,0.15,1129719.41,160628499.0,3581867.1,2626241749.69,0.0045
12,1.07,0.09,0.15,1175834.3,160628499.0,3567561.11,2619748085.6,0.0037
13,1.06,0.1,0.16,1238144.73,160628499.0,3535581.19,2607796737.94,0.0072
14,1.05,0.1,0.16,1244858.68,160628499.0,3524985.05,2604943896.29,0.003
15,1.05,0.1,0.16,1254114.56,160628499.0,3521460.07,2603770675.84,0.0017
16,1.05,0.11,0.16,1260224.82,160628499.0,3510906.25,2601131883.59,0.003
17,1.05,0.11,0.16,1274604.97,160628499.0,3503887.95,2599672357.57,0.0024
18,1.05,0.11,0.16,1278591.02,160628499.0,3500384.06,2598945447.53,0.0016
19,1.04,0.11,0.16,1293054.38,160628499.0,3489893.4,2597013333.71,0.0031
20,1.04,0.11,0.16,1304416.15,160628499.0,3486403.51,2596440468.75,0.0019
21,1.04,0.12,0.16,1305470.48,160628499.0,3475954.76,2594890846.29,0.0031
22,1.04,0.12,0.16,1306307.28,160628499.0,3469006.32,2594011767.14,0.0023
23,1.04,0.12,0.16,1308226.68,160628499.0,3465537.32,2593630745.38,0.0016
24,1.03,0.12,0.16,1309133.69,160628499.0,3462071.78,2593386320.47,0.0016
25,1.03,0.12,0.16,1309133.69,160628499.0,3462071.78,2593386320.47,0.0009
