,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
28,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,31.3,31.3,27.5,36.3,36.3,36.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3
29,36.3,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,31.3,27.5,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3
30,36.3,36.3,31.3,27.5,24.5,24.5,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,31.3,31.3,31.3,31.3
31,31.3,24.5,24.5,22.1,22.1,22.1,42.7,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3
32,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,24.5,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
33,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3
34,115.5,92.8,92.8,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
35,115.5,92.8,75.2,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
36,115.5,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,36.3,36.3,36.3,36.3
37,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,36.3,31.3,36.3,36.3,36.3,36.3
38,92.8,92.8,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,36.3,31.3,36.3,31.3,36.3,36.3,31.3,36.3,36.3
39,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,31.3,27.5,36.3,36.3,36.3,36.3,31.3,31.3,36.3,31.3,36.3,36.3,31.3,36.3,36.3
40,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
41,31.3,31.3,24.5,24.5,22.1,22.1,24.5,22.1,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3
42,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,31.3,36.3,36.3
43,50.9,50.9,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,27.5,31.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3
44,27.5,24.5,24.5,22.1,22.1,22.1,27.5,27.5,31.3,27.5,27.5,31.3,27.5,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3
45,22.1,20.3,20.3,20.3,22.1,24.5,31.3,27.5,27.5,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,36.3,31.3,31.3,36.3,36.3,31.3,36.3,36.3,36.3
46,20.3,20.3,20.3,22.1,22.1,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,31.3,31.3,36.3,36.3,31.3,31.3
47,15.8,17.0,17.8,20.3,20.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,31.3,27.5,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,31.3,31.3
