,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5000,1,0,10,0,0,minizinc_fw,0,1.2,1.05,4020162.0,3518410.08,160976870.0,0.12,0.11,0.006816666666666666,1990.217083333333
1,5000,1,0,10,0,0,ogsa_fw,0,1.2,1.04,4020162.0,3486819.65,160976870.0,0.13,0.11,0.005818750000000003,8.085015624999999
2,5000,1,3,10,0,0,minizinc_fw,0,1.2,1.04,4020162.0,3499711.15,160976870.0,0.13,0.11,0.006678571428571429,2051.6771428571433
3,5000,1,3,10,0,0,ogsa_fw,0,1.2,1.04,4020162.0,3488682.97,160976870.0,0.13,0.11,0.006238709677419354,8.42284193548387
4,5000,1,6,10,0,0,minizinc_fw,0,1.2,1.07,4020162.0,3597663.81,160976870.0,0.11,0.11,0.009373333333333334,3840.9700000000003
5,5000,1,6,10,0,0,ogsa_fw,0,1.2,1.04,4020162.0,3482082.6,160976870.0,0.13,0.11,0.007724,8.645831999999999
6,5000,1,9,10,0,0,minizinc_fw,0,1.2,1.04,4020162.0,3479324.86,160976870.0,0.13,0.11,0.0073846153846153844,3257.5373000000004
7,5000,1,9,10,0,0,ogsa_fw,0,1.2,1.03,4020162.0,3461329.98,160976870.0,0.14,0.11,0.005944117647058824,8.54305588235294
8,5000,1,0,10,0,0,minizinc_fw,1,1.19,1.05,4000163.0,3531368.7,161946596.0,0.12,0.13,0.006952173913043479,2520.7013
9,5000,1,0,10,0,0,ogsa_fw,1,1.19,1.05,4000163.0,3542570.1,161946596.0,0.11,0.13,0.007540000000000002,7.865895
10,5000,1,3,10,0,0,minizinc_fw,1,1.19,1.05,4000163.0,3548611.75,161946596.0,0.11,0.13,0.008555555555555554,2198.5244388888887
11,5000,1,3,10,0,0,ogsa_fw,1,1.19,1.05,4000163.0,3532261.21,161946596.0,0.12,0.13,0.007254545454545453,7.969431818181818
12,5000,1,6,10,0,0,minizinc_fw,1,1.19,1.04,4000163.0,3521813.59,161946596.0,0.12,0.13,0.006300000000000001,2164.1496296296295
13,5000,1,6,10,0,0,ogsa_fw,1,1.19,1.03,4000163.0,3460335.79,161946596.0,0.13,0.13,0.006532142857142859,8.165567857142857
14,5000,1,9,10,0,0,minizinc_fw,1,1.19,1.05,4000163.0,3531021.3,161946596.0,0.12,0.13,0.007039999999999999,3289.3143959999998
15,5000,1,9,10,0,0,ogsa_fw,1,1.19,1.01,4000163.0,3417685.96,161946596.0,0.15,0.13,0.006944827586206894,8.151155172413793
16,5000,1,0,10,0,0,minizinc_fw,2,1.24,1.08,4187970.0,3637547.34,162417127.0,0.13,0.1,0.005543333333333332,2630.3359933333327
17,5000,1,0,10,0,0,ogsa_fw,2,1.24,1.07,4187970.0,3619672.12,162417127.0,0.14,0.1,0.0066592592592592615,8.517466666666666
18,5000,1,3,10,0,0,minizinc_fw,2,1.24,1.07,4187970.0,3632076.41,162417127.0,0.13,0.1,0.007877272727272726,2918.9709000000003
19,5000,1,3,10,0,0,ogsa_fw,2,1.24,1.07,4187970.0,3607237.12,162417127.0,0.14,0.1,0.006782142857142856,8.059560714285714
20,5000,1,6,10,0,0,minizinc_fw,2,1.24,1.07,4187970.0,3631248.91,162417127.0,0.13,0.1,0.0070423076923076915,3046.829230769231
21,5000,1,6,10,0,0,ogsa_fw,2,1.24,1.06,4187970.0,3601793.51,162417127.0,0.14,0.1,0.008814285714285715,8.032266666666667
22,5000,1,9,10,0,0,minizinc_fw,2,1.24,1.07,4187970.0,3625118.44,162417127.0,0.13,0.1,0.006987999999999999,2868.9508
23,5000,1,9,10,0,0,ogsa_fw,2,1.24,1.06,4187970.0,3601699.99,162417127.0,0.14,0.1,0.007449999999999999,8.125104166666667
24,5000,1,0,10,0,0,minizinc_fw,3,1.19,1.07,3990697.0,3606719.78,161360983.0,0.1,0.11,0.005472,1885.2531999999999
25,5000,1,0,10,0,0,ogsa_fw,3,1.19,1.07,3990697.0,3581073.81,161360983.0,0.1,0.11,0.005848000000000001,7.910743999999999
