,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,5320.936,5261.293225879392,5214.687897821413,5175.719109953512,5143.32037955402,5138.335904406109,5127.974502359613,5116.79999,5184.32286379729,5199.577966985789,5214.842219230539,5430.0481328014685,5422.246484576517,5405.893540917483,5401.328465278843,5370.031468061341,5349.624275448919,5352.259621790902,5358.695194223558,5408.558775157895,5405.468779208984,5397.522671203421,5379.18839657437,5375.0995147975345,5375.0995147975345
1,5038.396,4976.363791254526,4927.29999,4887.113850319134,4926.049698175947,5114.913409492438,5085.751151342861,5070.344926098549,5103.807154327342,5141.9694863964105,5238.866501407944,5517.515403027538,5509.5423135766505,5492.793086836374,5488.042475171052,5455.844908118246,5433.557287223852,5423.699640895022,5411.622322239353,5405.595115100707,5402.516592663571,5397.241484677875,5386.681605140896,5383.963642451113,5383.963642451113
2,4915.359,4852.318101963718,4808.312323233667,4767.762595621258,5308.468405530259,5235.976674039018,5201.397253520219,5183.376964697215,5180.419667680161,5172.968630002188,5327.450297628416,5328.677449936058,5321.03311365143,5304.924545602427,5300.362908081218,5300.578400445079,5301.567845893272,5298.966554610976,5295.506124014574,5292.910284124437,5299.877302790938,5315.589219798627,5359.239741265627,5369.50001,5369.50001
3,4781.162,4719.4329972989335,4754.019619230302,4714.193183710152,5739.856436152078,5661.4489177969135,5623.306473843227,5603.50976036264,5575.2592101367945,5555.738997409413,5499.09294271461,5481.013112911099,5473.09053379904,5456.447636690098,5451.721683909624,5419.67317472467,5398.250881196928,5388.57639928213,5376.326403226315,5367.036301588767,5394.611618151895,5390.6308461996205,5385.582134505566,5394.013916045989,5394.013916045989
4,4413.337,4357.917891114846,5693.275459184509,5644.675076307283,5584.695702400848,5508.410836684264,5471.298173930857,5452.037010067213,5424.550310896633,5405.558931592079,5350.431710329471,5332.795884146266,5325.110399409524,5308.967190954549,5312.415924630289,5346.131163763697,5336.92160909028,5332.057002038962,5325.679122572363,5349.991335382729,5389.924979374274,5381.950030721038,5364.662377337068,5398.839828981917,5398.839828981917
5,4263.232,4390.12597034136,4954.359336042472,4912.077525571063,4861.490816828412,5559.00001,5521.546289054281,5502.10831606179,5474.369080144804,5455.20233056727,5399.56555364248,5381.687192025506,5373.914649190412,5357.628630197514,5367.60407451399,5402.516760044587,5381.781046044078,5372.071713374816,5359.849516629394,5425.271766370771,5422.705357207211,5414.680852106213,5395.400079166412,5399.421707823821,5399.421707823821
6,4086.831,5802.676239600951,5742.397571054867,5693.377927315681,5632.879366453703,5555.939030751287,5518.526867147533,5499.099376297666,5471.375361059237,5452.219079472752,5396.632679922664,5378.763531928611,5371.000983896299,5365.052523913654,5373.015390407926,5341.47585360855,5333.425055753621,5329.409241502494,5322.796222265039,5403.853140668317,5400.746484892974,5392.753886564417,5373.544836446705,5369.523699200816,5369.523699200816
7,4234.737,5088.626954871312,5035.784669370423,4992.817873086266,4939.835958673872,4875.963920655523,5243.20001,5224.74591365287,5198.414779437232,5180.231823916803,5268.1377318944305,5250.74455420122,5243.19999,5543.319379999998,5538.517658832561,5505.952940802102,5483.428868855866,5473.405705118229,5460.946110926011,5450.3723546990495,5447.2347422426055,5439.1692319502445,5419.784775874212,5415.59346694,5415.59346694
8,4379.165,4589.905379731833,4582.762085410229,5717.21111833819,5656.458640914055,5579.190482213311,5541.602316128907,5522.093340724654,5494.253033126139,5475.016117073954,5419.19751770555,5401.254528750644,5393.559747487363,5429.750017258092,5428.789483714603,5396.879509524713,5374.839996605276,5365.065257046931,5391.9196370994,5381.589836726821,5378.638030697108,5375.244528060505,5370.48179331902,5366.301944424837,5366.301944424837
9,4617.146,4631.682842298417,4725.37587693606,5226.781182036437,5172.357556860166,5103.970271110174,5069.774451501276,5052.867635882654,5104.831692986374,5303.743174763594,5249.727277139395,5232.370718651523,5247.7488766888955,5235.249609211233,5326.749565065725,5320.088390078671,5317.000784681085,5313.31622663032,5342.299858321515,5341.807391796207,5341.979322745647,5368.079803156596,5409.223996953004,5405.017471727793,5405.017471727793
10,4574.047,4535.943284829537,4752.997954764225,4995.884334502715,4964.750488197046,5181.213747285339,5146.404547356276,5128.363422923802,5102.68086434475,5519.153156079086,5462.869157902499,5445.004535857457,5437.1633135493175,5420.630421209405,5432.70001,5401.329309117983,5379.257690389955,5369.49999,5398.458355894954,5388.1136528863935,5385.410612254304,5403.767304661733,5394.288961727873,5390.095526603646,5390.095526603646
11,4973.727,4914.960484502764,4888.445324225703,4903.25710283488,4991.573676683198,5447.785706468956,5411.082461249462,5392.034225871685,5364.851899882488,5370.294159926832,5315.534298157482,5300.960227678857,5297.7258360298665,5316.0522986626065,5314.030087858993,5369.50001,5347.538699710685,5343.002023101564,5374.020604823226,5363.699041146092,5363.702581679404,5428.503792415779,5412.573932496664,5408.369595759896,5408.369595759896
12,5019.107,4958.570054116195,4922.79903300677,4891.533617649027,5022.417769882742,5513.360238413813,5476.215421153612,5456.936382621483,5429.424356963829,5410.72602125419,5355.5860702316695,5343.670297752306,5340.85530357214,5369.50001,5365.327448926899,5446.40869680975,5424.129991196681,5414.340947698802,5402.168807311432,5392.212244073349,5391.539296308794,5398.34251958535,5396.902416944202,5392.713817710527,5392.713817710527
13,5416.841,5346.944457931913,5292.563399478732,5247.5774158454815,5191.923309541354,5129.006270127238,5100.1495560815565,5083.341258977313,5312.53165416066,5293.955317728752,5240.261015781545,5268.111710406031,5264.635830653434,5278.287446018015,5274.455407588538,5349.0100311986325,5345.7636082804975,5349.172374500211,5354.624010533594,5369.458077507202,5377.242888967094,5369.49999,5402.160863491037,5397.972221793749,5397.972221793749
14,5336.767,5267.888768916428,5213.202484227345,5168.753341036711,5113.929019080506,5045.294079913891,5056.786009967706,5040.1498763925265,5661.415467977497,5641.593331220001,5584.053551101963,5565.559315960456,5557.513517159004,5540.615081286827,5535.815869886325,5503.721177748489,5481.207729312268,5471.188788465262,5458.7355840825985,5448.1425007381395,5445.006406319379,5436.944540622831,5417.568409067787,5413.370755040835,5413.370755040835
15,5630.99,5558.267921654307,5500.532085453424,5453.578560456757,5395.629360654014,5321.930293802155,5286.504438608152,5267.918616105513,5266.758158052529,5248.353108387276,5195.1028392522985,5232.608441993557,5404.808572032426,5388.386896453831,5383.725029028047,5352.097323105743,5468.8195581582,5458.823706848998,5446.398284465927,5435.829137233668,5432.69999,5424.672523964969,5409.390894441009,5405.202703509768,5405.202703509768
16,5765.354,5690.894721627332,5631.778288911369,5583.704470750744,5524.372625184969,5448.913182563695,5412.203668173747,5393.153569700102,5366.701521412925,5347.970930881933,5293.681804142833,5281.945375145424,5341.7561667877135,5331.025558512935,5327.554217824533,5335.526543762168,5446.967650726112,5437.012133643093,5424.636671568962,5414.123345986296,5411.0107546224,5403.0253374780405,5411.784224707018,5407.605792579796,5407.605792579796
17,5985.18,5907.881624573365,5846.510093276763,5796.601893048494,5735.006085981216,5656.665015980933,5618.554130257527,5598.774094799965,5570.547385228172,5551.043442565019,5494.42999079687,5476.276289527803,5471.109310409194,5454.471605348332,5449.747135604327,5417.704774288581,5407.659119274334,5397.78146417515,5385.503401601377,5375.075742181653,5371.9890219865765,5364.075245555095,5420.938859093561,5416.761845134807,5416.761845134807
18,6127.274,6048.140270355588,5985.3117189312225,5934.218421634528,5871.159988985702,5790.958800835732,5751.9418179270815,5731.691893139782,5702.794563937853,5682.827391280553,5624.866814095493,5606.237520509035,5598.133011708177,5581.108147625271,5576.273635867786,5543.48550573079,5520.810720962941,5510.719668118325,5498.175863517381,5487.506485975537,5484.347677884648,5476.227587652253,5456.711901982544,5452.456556566173,5452.456556566173
19,6141.251,6061.936602069382,5998.9646707128595,5947.754774262085,5884.552437025116,5804.167921881263,5765.061921060874,5744.765792300759,5715.80235644617,5695.789523679894,5637.696128618043,5619.02448318313,5610.901374572951,5593.837539147152,5588.991960786461,5556.128775867461,5533.400597587724,5523.286404560237,5510.724231872321,5500.03075311932,5496.8646818393345,5488.726015731762,5469.165417940618,5464.900338017489,5464.900338017489
20,5769.125,5694.618685105899,5635.465499689447,5587.364806939947,5527.997179177329,5452.494193695966,5415.762330630648,5396.702382865298,5369.49999,5350.715631415518,5296.186128380911,5278.890650668679,5278.540620713771,5285.6456774851495,5290.966060322416,5382.491854833895,5360.488084081405,5368.693452657146,5422.7616941836695,5412.256801207805,5409.152014926845,5401.19953495282,5381.965024514111,5377.798391079252,5377.798391079252
21,5773.904,5699.334311077705,5640.129770805334,5591.985488554815,5532.565572339767,5456.99484019024,5420.229210683958,5401.149812339379,5373.940883226976,5355.139025372475,5300.579899275613,5283.298077782901,5280.592871688284,5287.109901028932,5291.330568160148,5396.246864475237,5374.178262676511,5364.387610059306,5420.690764292196,5410.181599542942,5407.075092034109,5399.116874082724,5379.89010355223,5375.713898953361,5375.713898953361
22,5602.195,5529.851473955182,5472.419743496152,5425.710842339195,5368.088184574686,5294.844335090109,5259.211803912097,5240.705519757237,5215.110858207211,5210.062432031468,5567.217133459432,5548.780058551785,5540.761604783892,5523.918418554555,5519.1405381145205,5486.718852844849,5464.2734891362625,5454.285679240581,5441.883631524101,5431.325183089686,5428.203850961533,5420.205736338577,5404.228253781432,5400.0252816432685,5400.0252816432685
23,5631.732,5558.99999,5501.254897296548,5454.294672781612,5396.338245927062,5322.631271343913,5286.807945399385,5268.233830439443,5246.6555101117465,5229.211696654662,5432.70001,5414.709011676759,5406.886228075754,5390.45608069423,5385.789765813379,5354.150830556267,5426.693786378988,5416.78482223393,5404.481071366613,5394.513534495922,5391.41167407756,5383.462333774682,5385.387236857948,5381.196465704744,5381.196465704744
24,5420.644,5350.717378838444,5295.3474680619875,5250.22898938108,5194.476360906709,5124.468300014952,5092.391898306814,5106.143591263658,5163.63938914703,5169.102967072439,5361.704147268113,5343.976056681348,5337.740143785406,5326.513867832938,5323.193644833245,5323.326400657078,5369.50001,5360.3388376421,5360.42733506278,5374.998896581011,5371.906761259788,5363.976289883437,5422.060536974081,5417.838297624106,5417.838297624106
25,5413.439,5343.629079005297,5288.28699066177,5243.19999,5188.216989802422,5118.089065078017,5086.7858847523785,5261.287628394288,5238.506392690176,5242.73123530824,5460.906539888374,5442.822475344749,5434.954775858738,5418.427487087953,5413.739845799904,5381.979199058171,5366.96668615658,5456.457047598233,5444.036691820445,5433.472277338465,5430.34444434798,5422.320381858876,5416.741854383024,5412.521701834873,5412.521701834873
26,5366.111,5297.636725071684,5243.134725642204,5199.497970087527,5145.530415705521,5077.49551230504,5049.590515513624,5554.054033219992,5526.056500828198,5506.710940391419,5450.710936379169,5432.69999,5424.85385034521,5408.373280624993,5403.696738697106,5372.08145313321,5350.11758411934,5418.112125935695,5405.817605387745,5395.755344262643,5394.185585442142,5386.210862444527,5380.969064712511,5376.832679423794,5376.832679423794
27,5491.644,5420.7353074143775,5364.461259149166,5318.776968325776,5262.31056342524,5190.474604878095,5157.289732098052,5147.739164562473,5122.899382838419,5119.375657690392,5211.5930965683165,5339.716574260548,5333.376857881769,5321.877344063547,5318.504552648665,5322.70133027585,5318.894999753113,5346.20029961653,5357.887553000328,5362.108003351372,5374.193643429916,5366.245132386194,5406.9566600150865,5403.541363079822,5403.541363079822
28,6014.276,5936.601564872336,5874.931667333206,5824.7805485767785,5762.895583326338,5684.172893125088,5645.875457717846,5626.02571435092,5597.661422932895,5578.062524086964,5521.170393407874,5502.917184460003,5494.962192098647,5478.251531484412,5473.506251164269,5441.323297335997,5419.063404044977,5409.465950455528,5397.259421985906,5387.168839543208,5385.059793733716,5377.157850224652,5371.841228867674,5379.828872812901,5379.828872812901
29,5909.953,5833.626041101718,5773.026018900869,5723.74496772927,5662.946363301873,5585.590331852442,5547.9574224172175,5528.428333775135,5500.557427953537,5481.299341481951,5425.396900794849,5407.618782954029,5400.877266724233,5386.702831271467,5382.039873301253,5350.40420671613,5412.042750936244,5402.1603035448325,5389.87837136922,5379.466736955637,5376.50662305197,5369.554359083747,5351.905092438824,5407.345533588054,5407.345533588054
