,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,2.3,0.0,0.0,0.0,401060.0,19182.0,6514544.7,0.0,6514547.0
1,2.23,0.03,0.1,144800.0,401060.0,18628.0,5866388.47,0.0598,6011190.7
2,2.23,0.03,0.1,112220.0,401060.0,18668.72,5832239.43,0.0653,5944461.66
3,2.24,0.03,0.1,96845.86,401060.0,18687.94,5832004.76,0.0372,5928852.86
4,2.24,0.02,0.1,73893.39,401060.0,18716.63,5839633.93,0.0635,5913529.56
5,2.24,0.02,0.1,65026.18,401060.0,18727.72,5838497.65,0.0333,5903526.07
6,2.24,0.02,0.1,52866.28,401060.0,18742.92,5842150.3,0.0564,5895018.82
7,2.24,0.02,0.1,47103.86,401060.0,18750.12,5841748.84,0.0314,5888854.94
8,2.25,0.02,0.1,38483.85,401060.0,18760.9,5844111.58,0.0517,5882597.68
9,2.25,0.02,0.1,34558.5,401060.0,18765.8,5843123.3,0.0289,5877684.05
10,2.25,0.02,0.1,29927.66,401060.0,18771.59,5844801.74,0.043,5874731.65
11,2.25,0.02,0.1,27174.32,401060.0,18775.03,5844469.73,0.0265,5871646.300000001
12,2.25,0.02,0.1,24701.46,401060.0,18778.12,5845036.01,0.0258,5869739.72
13,2.25,0.02,0.1,21638.48,401060.0,18781.95,5845552.34,0.0352,5867193.07
14,2.25,0.02,0.1,19799.21,401060.0,18784.25,5845454.53,0.0248,5865255.99
15,2.25,0.02,0.1,17799.49,401060.0,18786.75,5845856.68,0.0289,5863658.42
16,2.25,0.02,0.1,16072.94,401060.0,18788.91,5845903.76,0.0285,5861978.95
17,2.25,0.02,0.1,14771.03,401060.0,18790.54,5846058.31,0.0237,5860831.59
18,2.25,0.02,0.1,13766.6,401060.0,18791.79,5846024.29,0.0206,5859793.14
19,2.25,0.02,0.1,12596.44,401060.0,18793.25,5846143.26,0.0267,5858741.95
20,2.25,0.02,0.1,11664.3,401060.0,18794.42,5846295.52,0.0214,5857962.069999999
21,2.25,0.02,0.1,10579.52,401060.0,18795.78,5846377.04,0.0264,5856958.81
22,2.25,0.02,0.1,9796.64,401060.0,18796.75,5846336.65,0.0211,5856135.54
23,2.25,0.02,0.1,9140.27,401060.0,18797.57,5846364.91,0.0195,5855507.43
24,2.25,0.02,0.1,8564.43,401060.0,18798.29,5846424.62,0.0179,5854991.3
25,2.25,0.02,0.1,7964.92,401060.0,18799.04,5846517.48,0.0203,5854484.65
26,2.25,0.02,0.1,7487.02,401060.0,18799.64,5846527.09,0.0195,5854016.359999999
27,2.25,0.02,0.1,7022.82,401060.0,18800.22,5846525.45,0.0187,5853550.5200000005
28,2.22,0.03,0.11,30546.05,401060.0,18549.44,5813942.42,0.0717,5844490.6899999995
29,2.22,0.03,0.11,27858.0,401060.0,18572.28,5814044.77,0.0259,5841904.989999999
30,2.22,0.03,0.11,26214.38,401060.0,18586.25,5815183.55,0.0181,5841400.149999999
31,2.23,0.03,0.11,25559.02,401060.0,18591.82,5815747.41,0.008,5841308.66
32,2.23,0.03,0.11,25252.31,401060.0,18594.42,5816018.84,0.0046,5841273.38
33,2.23,0.03,0.11,25075.54,401060.0,18595.93,5816179.05,0.0029,5841256.82
34,2.23,0.03,0.11,25025.39,401060.0,18596.35,5816225.93,0.0014,5841253.55
35,2.23,0.03,0.11,24925.29,401060.0,18597.2,5816319.23,0.002,5841246.750000001
36,2.23,0.03,0.11,24900.36,401060.0,18597.42,5816342.26,0.0011,5841244.850000001
37,2.23,0.03,0.11,24900.36,401060.0,18597.42,5816342.26,0.0008,5841244.850000001
