,0,1
0,14.3,14.0
1,14.5,14.4
2,14.0,14.4
3,14.5,14.1
4,14.0,14.0
5,14.0,14.0
6,14.0,14.0
7,14.0,14.1
8,14.0,14.2
9,14.0,2304.0
10,14.0,14.0
11,15.4,14.0
12,17.0,14.0
13,50.9,14.0
14,14.0,16.3
15,14.0,14.4
16,14.1,14.0
17,14.0,14.0
18,14.0,14.0
19,14.1,15.8
20,14.5,20.3
21,14.0,14.0
22,14.4,14.3
23,17.0,14.8
24,17.8,14.0
25,17.8,14.0
26,230.4,14.2
27,14.0,14.0
28,15.8,14.0
29,14.6,14.0
30,22.1,15.8
31,16.3,14.0
32,14.0,14.5
33,14.0,14.0
34,14.0,14.0
35,14.0,18.9
36,14.0,14.0
37,17.0,14.6
38,14.6,14.0
39,14.0,14.2
40,14.0,14.2
41,15.4,17.8
42,15.4,18.9
43,14.0,22.1
44,17.0,14.5
45,14.5,14.0
46,16.3,14.0
47,144.6,14.3
