,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,14.5,14.3,14.3,14.5,14.8,14.8,14.6,16.3,15.8,15.8,15.4,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.4,15.4,16.3,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,16.3
1,14.5,14.5,14.4,14.4,24.5,24.5,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3
2,14.5,14.3,14.5,14.5,17.0,16.3,15.8,15.4,15.4,15.4,15.1,15.1,14.8,14.8,17.0,17.0,17.0,17.0,16.3,16.3,16.3,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,15.8,15.8,15.8,16.3,16.3,16.3
3,14.2,14.1,24.5,24.5,22.1,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,16.3,17.0,17.0,16.3,16.3,15.8,15.8,15.8,16.3,16.3,16.3,15.8,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
4,14.2,14.2,15.4,15.1,14.8,14.6,15.4,15.1,14.8,14.8,14.8,15.1,14.8,15.1,15.1,15.4,15.4,15.4,15.4,15.8,15.8,15.8,15.8,15.8,15.8,16.3,16.3,15.8,15.8,15.8,15.8,15.8,16.3,16.3,16.3
5,14.5,14.4,14.4,14.3,20.3,20.3,17.8,17.8,17.0,17.0,17.0,16.3,16.3,16.3,15.8,16.3,15.8,16.3,15.8,17.0,17.0,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
6,14.0,17.0,17.0,16.3,15.8,15.4,15.1,15.1,14.8,14.8,14.8,15.1,14.8,15.4,15.1,15.4,15.4,15.4,15.4,16.3,16.3,15.8,15.8,15.8,15.8,15.8,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
7,14.0,31.3,27.5,24.5,22.1,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,15.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,15.8,15.8
8,14.1,14.3,14.3,15.8,15.4,15.4,14.8,14.8,14.8,15.1,15.1,14.8,15.4,15.1,15.1,15.4,15.4,17.0,17.0,16.3,16.3,15.8,15.8,16.3,16.3,15.8,15.8,15.8,16.3,15.8,16.3,16.3,16.3,16.3,16.3
9,14.4,14.4,14.3,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,15.8,15.8,15.8,15.8,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3
10,14.6,14.5,14.5,14.5,14.5,15.4,15.1,15.4,15.1,14.8,15.4,15.1,15.1,15.1,17.0,17.0,17.0,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,15.8,16.3,15.8,16.3,16.3
11,15.8,15.4,15.4,15.4,14.8,14.8,14.6,16.3,15.8,15.8,15.4,15.4,15.4,15.4,16.3,16.3,16.3,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,15.8
12,50.9,42.7,36.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,15.8,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3
13,27.5,24.5,22.1,22.1,20.3,18.9,17.8,17.0,17.0,16.3,16.3,15.8,15.8,15.8,15.8,15.4,15.4,15.4,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
14,17.8,17.0,16.3,15.8,15.8,15.4,15.1,14.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,15.8,15.8,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,15.8,16.3,15.8,16.3,16.3,16.3,16.3
15,17.8,17.0,16.3,15.8,15.8,15.4,15.1,14.8,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3
16,27.5,24.5,22.1,22.1,20.3,18.9,17.8,17.0,17.0,17.0,16.3,15.8,15.8,15.8,15.8,15.8,15.4,15.8,15.4,15.8,15.8,15.8,15.8,15.8,16.3,15.8,15.8,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3
17,230.4,230.4,144.6,144.6,92.8,92.8,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
18,92.8,92.8,61.6,61.6,50.9,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
19,50.9,42.7,36.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,15.8,15.8,15.8,16.3,16.3,15.8,16.3,16.3
20,18.9,17.8,17.0,17.0,16.3,15.8,15.4,15.4,15.1,15.1,14.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,15.8,16.3,15.8,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
21,15.8,15.4,15.4,15.1,14.8,14.6,15.4,15.4,15.1,15.4,15.4,15.8,15.8,15.8,15.4,15.4,15.4,15.8,15.8,15.8,15.8,15.8,16.3,16.3,16.3,15.8,16.3,15.8,15.8,16.3,16.3,16.3,16.3,16.3,16.3
22,17.8,17.0,16.3,15.8,15.8,15.4,15.1,15.1,14.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,15.8,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3
23,15.8,15.8,15.4,15.4,14.8,14.8,14.8,15.1,14.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,16.3,15.8,15.8,15.8,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3
24,14.6,14.6,14.5,14.5,14.6,14.6,22.1,22.1,20.3,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,16.3,16.3,16.3,16.3,16.3,15.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3
