,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
12,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333,8.333
13,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465,8.465
14,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533,6.533
15,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992,11.992
16,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279,9.279
17,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621,10.621
18,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172,10.172
19,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102,10.102
20,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051
21,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02
