,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,6458.641,6383.290774801654,6316.266962893714,6260.006941512783,6194.705579727572,6153.203179888416,6195.661057470832,6209.818231294895,6583.7582693960285,6561.8564706163,6523.615850099036,6511.9437014613795,6498.091827797832,6469.971372282665,6460.237648053701,6483.736353513934,6482.709270394553,6496.08732701213,6530.219143526544,6621.667649586676,6617.434252272478,6617.434252272478
1,5867.929,5798.232363839795,5736.614491768359,7187.157561972423,7102.698774475666,7054.62964831004,7013.569470169192,6957.205460771463,6904.563982840592,6878.908048484344,6838.215605176185,6825.513027560337,6810.283678862475,6778.40434833105,6762.206911059482,6731.451696989324,6706.850871773511,6674.373165792503,6675.8581194725775,6679.30001,6675.019941600454,6675.019941600454
2,5888.612,5816.098002077124,5752.495583061708,6291.00001,6214.8739308976,6176.901910973693,6181.487079850673,6762.69878211485,6711.4812813247645,6686.527481611105,6646.954048204478,6634.6104767087945,6619.806118456097,6589.09267855592,6709.435219310469,6678.654627607425,6654.196839228675,6621.878191912647,6611.888024716095,6601.910019751593,6598.573427708885,6598.573427708885
3,5997.762,5923.252769038364,5865.093919379351,6021.663465305558,5951.936460248474,6324.076328231661,6289.086734477213,6588.613887804512,6538.712885053923,6514.41558234793,6475.89566387928,6463.883785407308,6449.475754733373,6419.7016195613605,6788.449098841567,6757.301624213794,6732.54381450782,6699.827856426858,6689.538196451062,6676.820439501247,6678.906218483772,6678.906218483772
4,5620.299,5551.414189856118,5802.551173603033,5936.689274989615,5866.390524543008,6933.517590755961,6890.033807338328,6834.599990000001,6782.850645136071,6757.825133819437,6717.900650996651,6705.427429600148,6690.467497815676,6664.94815751741,6663.440103864988,6632.91099381306,6608.621450735327,6576.524278870196,6580.478189336077,6582.171692336168,6595.11028093074,6595.11028093074
5,5690.216,5621.36331591053,6310.2919617898415,6253.935200492639,6177.68839967947,6208.75188917013,6202.807297640481,6196.597144199751,6213.30001,6334.668978083706,6388.806619914104,6405.703491766074,6425.968533215723,6827.879718332547,6811.446506615235,6780.194340020908,6755.3492581516575,6722.517975150224,6712.197900576611,6699.439422365954,6695.1418964003415,6695.1418964003415
6,5489.4,5546.755806943745,7219.719644959074,7152.979554094078,7065.660026109198,7017.766839806021,6973.813849251243,6917.691922116996,6865.280653727446,6839.754393996796,6799.2668455868825,6786.63361925824,6771.4824190095815,6762.156770430088,6745.879784417006,6714.926054458143,6690.35629065521,6657.8852027850535,6647.6632543124115,6656.418947942641,6652.150984851735,6652.150984851735
7,5124.525,7185.625858200515,7105.36301525348,7039.680053098464,6953.743622102109,6906.6067466364375,6863.548253506304,6808.312770151523,6756.88624798566,6731.762861184194,6691.9147812221645,6679.475887836875,6664.557753731657,6633.334769963639,6617.370676165217,6587.0131524341095,6596.98169493094,6610.13959800756,6599.993371882,6631.4135489683495,6627.16122969764,6627.16122969764
8,5314.132,6422.5997994591635,6350.8627219702885,6292.159670706639,6215.465119627574,6173.379312733263,6166.028588635233,6157.173344375151,6984.628366514823,6958.657165922483,6917.464372486213,6904.6059992755945,6889.18477730759,6856.902433309645,6840.396648791572,6809.0023398418325,6784.065191228864,6751.109049277489,6740.760838678835,6727.990434813918,6723.6752231375185,6723.6752231375185
9,5680.359,5882.899269723738,5860.4360158350555,6012.471929492435,6608.988834176153,6564.193312147625,6523.395913069222,6470.944248588591,6641.923745624047,6617.232700803418,6578.071066806735,6565.860201942542,6551.215545545685,6528.245812096054,6517.866525588431,6543.526161846335,6536.177401193376,6526.457035646361,6552.058786870238,6563.543997917412,6564.413089881395,6564.413089881395
10,5718.539,5808.0431818151665,5913.799320818414,5894.71487374822,7173.433078454016,7124.806421190631,7080.199404906276,7023.219515413805,6970.008236126366,6944.091109674966,6902.984059300532,6890.152417612815,6874.763255123987,6842.548676780314,6826.077132129389,6794.76666483046,6769.86993761188,6736.969212674803,6726.687659994918,6713.901983646541,6709.66158523327,6709.66158523327
11,5911.024,5853.569938284048,6098.053620737212,6061.62602697834,6193.525719022859,6154.911227410513,6145.745261957425,6923.369885883525,6870.915446668179,6845.375615375962,6804.852801264758,6792.203950988132,6777.463728138086,6745.727885732649,6729.4987417064885,6698.615288784285,6674.067718064318,6700.682377049938,6690.375882112073,6677.654358425607,6678.607310646328,6678.607310646328
