,0,1,2,3,4,5
0,14.0,14.6,14.8,14.6,14.0,14.2
1,14.6,15.8,14.0,15.8,15.4,14.3
2,14.0,14.0,14.3,14.5,14.5,14.3
3,14.0,24.5,15.4,14.0,27.5,14.6
4,14.6,15.1,15.8,15.8,14.1,14.5
5,14.0,14.0,14.0,14.6,14.1,20.3
6,14.0,14.2,14.4,14.5,15.1,15.4
7,14.0,14.2,14.5,14.5,15.8,15.1
8,14.0,16.3,14.3,14.0,14.5,17.8
9,14.0,14.2,14.8,14.6,15.8,14.6
10,14.5,14.8,14.0,14.0,14.0,14.0
11,14.3,14.4,14.1,14.0,14.0,15.8
12,14.0,14.8,14.5,17.0,14.5,14.0
13,14.0,14.2,14.6,14.4,14.2,14.2
14,15.4,14.0,14.4,15.4,14.8,14.0
15,15.1,15.4,14.6,15.1,14.1,14.4
16,14.3,14.3,14.4,14.3,14.6,15.8
17,16.3,14.3,14.0,14.6,14.0,14.5
18,15.1,14.0,15.4,16.3,14.8,14.5
19,15.1,14.2,15.1,14.8,14.8,14.5
20,15.8,16.3,14.2,14.8,15.8,14.2
21,14.1,15.4,14.6,14.1,14.8,16.3
22,16.3,14.4,14.3,14.0,14.1,14.6
23,17.0,14.6,14.1,14.5,14.5,14.0
24,14.0,15.4,15.1,16.3,14.8,14.1
25,14.8,15.4,14.8,18.9,15.8,15.8
26,14.4,15.4,15.8,17.8,14.6,15.8
27,61.6,14.0,18.9,14.3,15.4,15.4
28,36.3,14.1,22.1,14.3,14.1,14.6
29,20.3,14.8,15.4,16.3,14.0,15.8
30,15.8,14.2,14.8,17.0,14.5,14.0
31,16.3,14.4,14.6,15.8,14.6,17.8
32,24.5,14.6,14.0,14.6,14.6,15.4
33,14.0,14.8,14.8,14.4,14.5,14.0
34,15.8,16.3,14.3,15.1,14.6,14.3
35,14.8,14.8,14.6,14.6,15.8,14.3
36,14.1,14.6,15.1,14.5,14.5,14.0
37,14.2,14.6,14.0,14.0,15.4,14.2
38,15.1,14.6,14.3,14.6,17.8,14.1
39,17.0,14.4,16.3,14.3,14.8,14.8
40,22.1,14.8,15.4,17.0,14.6,14.1
41,14.0,15.4,14.3,14.6,14.6,14.5
42,14.8,14.1,14.6,14.5,17.8,15.1
43,14.5,14.0,14.2,14.0,14.8,15.4
44,14.1,14.0,14.6,14.6,15.8,16.3
45,14.0,17.8,14.6,15.4,14.0,14.6
46,14.2,18.9,15.8,14.0,14.6,14.6
47,230.4,15.8,15.8,14.0,14.5,20.3
