,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,3154.961,3120.430296994125,3089.3673038906313,3058.6141936873128,3034.231491667976,2999.287604173749,2966.786653452901,2937.641530538649,3056.1812700928513,3043.8788145113417,3025.560752471906,3125.3419017489323,3125.4635623019844,3445.073172008549,3434.7483921590024,3424.4545826579983,3414.1939523841397,3403.961885418743,3400.5638015333243,3393.7666102260587,3390.373000615833,3376.858764868233,3373.876289103365,3370.503106814261,3367.1332977074467,3353.6862279385127,3343.637136049332,3340.2937259132827,3336.95364718737,3336.95364718737
1,3077.378,3043.6964009789294,3013.3970541242447,2983.473665821419,2959.7118875304823,3477.190767175896,3439.1777421816,3405.004157961429,3384.628982409832,3364.374687357552,3334.2165659487123,3317.5803688022884,3307.6598658158446,3349.5087553336266,3339.4708286895684,3329.463866839994,3319.497598155661,3309.557152437191,3306.264018284754,3299.668919447203,3296.370153527755,3283.7437762703944,3364.484350494124,3361.12086314363,3357.760739280486,3344.351195409482,3334.3306950073306,3330.9966033123233,3327.666937709011,3327.666937709011
2,2982.046,2949.4093686855126,2920.0501338897047,2895.0635782928684,2872.0382751706456,3654.5513680563918,3614.551701536355,3578.6072313266836,3557.189249393886,3535.899454510995,3504.1999515889165,3486.714023676136,3476.265129468729,3445.105264599072,3434.7803556009885,3424.4864473085163,3414.234191061094,3404.0018716322975,3400.6042777606654,3393.807271408422,3390.4136031370135,3376.912381441974,3390.887383060532,3387.4972006774715,3384.110408476794,3370.595839597864,3360.4958897655706,3357.147910875805,3355.471826964929,3355.471826964929
3,2674.361,2645.4170155065394,2620.1661427026706,3044.211925132546,3019.9448120930724,3066.973748040053,3033.417944554283,3003.3340509458603,3053.9521895835765,3101.1729367820744,3487.63375242335,3470.230465059934,3459.830228837935,3428.816163901737,3418.5400283997174,3408.2947144620816,3398.0913894493265,3387.9078546082383,3384.5271367536297,3377.7620367222594,3375.7417456855374,3362.290005136703,3358.9278621315657,3355.5694132694343,3352.214491856165,3338.8420892165614,3328.8367539577307,3329.780877203773,3335.423564326569,3335.423564326569
4,2672.378,2643.2038934193424,2622.9452057969634,3607.638038226322,3578.8777460101837,3529.389960746478,3490.761136778831,3456.176422093299,3435.5403220296007,3415.0004975962647,3384.4246053053394,3367.7837123631207,3357.691141528612,3327.5942555448114,3322.689902402524,3312.7365866499317,3302.814758336156,3292.919069350559,3289.644536281208,3283.075675282182,3353.6391356069,3340.3119345334144,3336.9756905988806,3333.638898908282,3330.3090290093737,3346.0647156589052,3336.0487751330884,3332.880345357955,3332.304812012597,3332.304812012597
5,2743.822,2713.802532680855,2752.182391198994,2791.7355217236013,2770.1815018345233,3250.77955784458,3215.199623357365,3183.333507670927,3164.293665790226,3145.375677970072,3117.991306611349,3228.3693481288183,3218.704015863475,3190.3468355840187,3401.3185786160584,3391.1252280297626,3380.9621811712855,3370.8295929744063,3367.462956381432,3360.732423418626,3374.4095529952074,3361.002418252639,3357.6803798343867,3354.323583454552,3351.017455871098,3337.6392740514325,3327.7528262713204,3327.8560914450486,3332.5462903536036,3332.5462903536036
6,2629.071,2604.8286970585355,3640.663851989468,3604.4206072268744,3575.6859884667824,3525.9506131692415,3487.358886168953,3452.851316201528,3432.1869016420446,3411.6471515449766,3381.113003754451,3364.697662265751,3354.616237428103,3324.5478742995388,3362.7701958607863,3352.780252879478,3342.801275753944,3332.7830078767456,3329.4528988688685,3322.8011206240294,3328.2219035034054,3315.6416340268074,3321.1928353927806,3324.786502557388,3334.257566054831,3320.9415105272956,3368.308147764924,3364.946680617159,3363.1196239365418,3363.1196239365418
7,2574.81,2670.5722118414933,3045.2732123958685,3014.9578695410482,2990.923222095674,2949.349927304306,2917.126914558382,3358.760538809456,3338.6584993355323,3318.676758999559,3288.928323032396,3272.7197909147385,3262.953089757543,3247.6267106928262,3238.139126473187,3253.055152119131,3278.7101125904405,3332.8613498964824,3329.532749546586,3322.880022075242,3334.392315053167,3321.185911913922,3341.7654280020083,3338.495871574006,3335.202630702432,3321.882944367059,3373.51215788375,3370.1387887258666,3366.7711929371408,3366.7711929371408
8,2496.875,3645.2289917789712,3608.940310458032,3573.0128773515544,3544.5286188544974,3495.226580992962,3456.970881845395,3422.9823320463956,3402.507828061225,3382.1443312580777,3351.823765848358,3335.2594088783317,3325.298020684138,3309.0863493151924,3300.496715630218,3293.3724944563583,3300.0681828186025,3339.1355408541795,3335.811411313325,3329.14465953411,3338.352427874576,3325.1953981621577,3344.6837277639956,3342.271480036232,3338.9322975561954,3325.598409873189,3373.057163235214,3369.684365071979,3366.314939706907,3366.314939706907
9,2575.612,2974.1673546870275,2946.912194328965,2918.1756938322574,2947.285865775097,2906.3546877735002,3391.6497425652733,3358.1616181144414,3338.100126676273,3318.1229850660197,3288.3794420041377,3271.9963188231054,3262.2322174806354,3248.75815763458,3267.9641623465573,3270.611514741339,3287.9885565648024,3357.3250901140827,3353.9902460239687,3349.0504546631673,3345.7255952085043,3332.522426093557,3329.6008596674633,3370.301658807796,3366.9319451489882,3353.485655618954,3344.615004220221,3341.270735216001,3337.929810480785,3337.929810480785
