,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3679.532,3614.0093946682937,3557.035364732634,3511.493314772932,3476.7579474876625,3435.9342054243116,3444.0542696311004,3426.93321964214,3403.036290527452,3394.0644257570552,3387.89863644908,3438.45054591214,3431.614626489862,3424.7923720705085,3422.005700698438,3418.6031779977393,3403.141593430824,3399.074229727167,3395.9438692309427,3392.566847361712,3389.4754821228357,3387.9397936407127,3386.4989748470716,3386.4989748470716
1,3364.448,3304.4116160427343,3252.1334058394486,3210.3835997409933,3216.7921921803545,3178.5798811748245,3343.485429602749,3326.8519277420905,3321.7047364209084,3334.476304047646,3347.0631348438556,3458.5901310545946,3451.7032359626164,3444.830107773927,3441.618765666153,3438.191361900487,3440.9523872267873,3442.442120338343,3442.231375522787,3438.802341147264,3438.551166115311,3438.427566949196,3438.3087643822464,3438.3087643822464
2,3005.361,2951.7249845485876,2904.9877122380526,2928.319615148002,3627.1872262139022,3583.8996970098588,3537.62630246581,3519.988841168632,3495.4232463762896,3477.9961891304374,3464.1075427130313,3472.6839539531848,3467.824119178232,3462.9739992129953,3459.6516752137823,3456.194383538568,3464.9007705144554,3454.5239519428233,3454.39737535889,3450.943735983531,3450.2184793213,3449.8443348419787,3449.4705645071367,3449.4705645071367
3,2725.685,2677.3012924865257,2767.693701655794,3164.5189207087665,3407.594305896432,3366.964395148965,3323.456386479199,3306.8778547838315,3306.108710311876,3306.1618902939395,3310.2293045246074,3318.606667660196,3356.1967998565437,3465.20970653663,3461.9488638300936,3458.4869279662635,3469.8483357286627,3459.4492207726435,3459.8425695583187,3456.38273498876,3455.553450368518,3455.0327169181496,3454.5125042012314,3454.5125042012314
4,2693.375,2645.3617238442725,2753.1424795956345,3670.5279053731183,3633.9873603816677,3590.618700752236,3544.2197144691304,3526.5342571999204,3501.922897971816,3484.448302639283,3470.5325963914293,3474.0841067230654,3473.9478986477266,3489.2347995763294,3485.9983877767536,3482.5124173889767,3447.840393212104,3452.6371550711683,3452.9514375411813,3449.9436151036402,3451.0165691280476,3450.9199145589196,3450.823356644361,3450.823356644361
5,2696.491,2648.3917330814866,3083.736597223694,3172.29315892557,3140.7156069648463,3492.692442606173,3447.558900290134,3430.3561008104407,3406.4166004117956,3389.419191239893,3375.882644224602,3512.6105302084293,3505.5888237575423,3498.5811536978513,3495.384395544153,3491.889051148609,3457.1240803581313,3461.2071433306805,3454.288280206163,3455.5558719259566,3457.2326973499767,3457.1263606526268,3457.020130291974,3457.020130291974
6,2635.874,2605.9327410190817,3721.831602758999,3673.7333906749145,3637.160994424018,3593.7949050191996,3547.3550170635654,3529.653739952721,3505.0202677726993,3487.530246473963,3473.60116453104,3473.0705719838993,3466.1280198525037,3459.1993458828188,3456.1045785369356,3452.6492429583986,3455.8672450452427,3456.933265578538,3456.0062267986464,3480.5608615718475,3473.603276381565,3470.1296881051835,3466.6595734170783,3466.6595734170783
7,2533.712,3175.776040875666,3132.520494503521,3092.0416395975876,3228.430975417318,3194.9881658899562,3481.225272778931,3463.854003713074,3439.6798548784814,3422.516167323734,3408.8483534685324,3398.778578899237,3391.988578440017,3386.2879770097156,3383.264842032706,3379.8819931906733,3379.2000095550334,3378.496541463673,3377.948210683287,3449.3518364726037,3445.588911203495,3445.0448682922915,3444.5013694239997,3444.5013694239997
8,2564.161,3863.341873648698,3801.9860386328965,3752.8519300145326,3715.4918394961614,3671.272419442963,3623.8311898752504,3605.7482360175763,3580.583593003347,3562.7164550663433,3548.4869592855134,3537.8521463140496,3530.7799838715673,3523.721958681808,3520.554650723126,3517.0340960724034,3482.018111343499,3471.5826074738206,3464.6429878044805,3461.4110228166755,3454.491758134065,3454.163596375931,3453.8357627795554,3453.8357627795554
9,2654.278,2923.7717119857025,3346.9622876953904,3303.7087955377824,3270.8231046337096,3313.1068546209326,3292.252743281702,3337.4229787088075,3337.107784701274,3428.324978863855,3414.632998043165,3405.833110805799,3407.0205325762986,3410.051221408679,3407.12287018727,3404.8632263170825,3406.2898851068326,3405.372092855931,3405.3875289483117,3403.922829419363,3405.152162786354,3404.5469216235674,3403.954552701944,3403.954552701944
10,2661.873,3102.104405625727,3231.527947351718,3201.6739178232324,3186.486796049215,3282.205528253333,3462.04634844085,3444.77422051602,3420.7362520776246,3442.963102640188,3429.213663583605,3420.624655329977,3422.595628039973,3425.9496249465205,3423.014304321574,3426.5093030172525,3429.486774800728,3429.0357148371463,3429.367375494187,3427.1915401186925,3428.112422366995,3427.363027944628,3427.0325269166833,3427.0325269166833
11,3168.687,3157.3597248818865,3140.4697069147264,3112.977861193917,3302.6001272210847,3272.140620139901,3443.814154248258,3426.692061922971,3402.86504988129,3388.1658873699275,3391.8141708326184,3382.905018414944,3380.5749459971325,3379.5934750860847,3376.831899610999,3451.530198711388,3453.1841856771284,3452.8816378697043,3453.100904905603,3450.5370870006973,3450.563285720783,3450.293754435062,3454.281366680627,3454.281366680627
